,word1,word2,result,bert_cos
0,sun,sunlight,50.0,0.8869457840919495
1,automobile,car,50.0,0.8440622091293335
2,river,water,49.0,0.8679803013801575
3,stairs,staircase,49.0,0.796090304851532
4,morning,sunrise,49.0,0.8864282369613647
5,rain,storm,49.0,0.8038718700408936
6,cat,kittens,49.0,0.7682387828826904
7,dance,dancers,49.0,0.8936035633087158
8,camera,photography,49.0,0.8357034921646118
9,cat,feline,48.0,0.5875127911567688
10,sunny,sunshine,48.0,0.9329997301101685
11,pregnancy,pregnant,48.0,0.8564146757125854
12,beach,sand,48.0,0.8555840849876404
13,bakery,bread,48.0,0.87669837474823
14,flowers,garden,48.0,0.8915923237800598
15,grass,lawn,48.0,0.8517944812774658
16,copper,metal,48.0,0.9194499254226685
17,photos,photography,47.0,0.8482221961021423
18,cemetery,graveyard,47.0,0.7703828811645508
19,gravestone,graveyard,47.0,0.5921201109886169
20,sun,sunshine,47.0,0.8935925960540771
21,black,dark,47.0,0.9319207668304443
22,cathedral,church,47.0,0.7835975885391235
23,frozen,ice,47.0,0.8648838400840759
24,station,subway,47.0,0.7771156430244446
25,children,kids,46.0,0.8836459517478943
26,aquarium,fish,46.0,0.7703120708465576
27,light,lighting,46.0,0.9246456027030945
28,fungi,mushrooms,46.0,0.8548319339752197
29,frost,snow,46.0,0.834246039390564
30,burn,flame,46.0,0.9105491042137146
31,ocean,sea,46.0,0.8392102718353271
32,candy,chocolate,46.0,0.9441406726837158
33,car,vehicle,46.0,0.9195584058761597
34,concert,music,46.0,0.7881471514701843
35,photos,picture,46.0,0.8505296111106873
36,grapes,wine,46.0,0.9243635535240173
37,bath,bathroom,46.0,0.9102696180343628
38,buds,flowers,46.0,0.8182790279388428
39,cat,kitty,46.0,0.9140244722366333
40,ocean,water,46.0,0.741112232208252
41,aircraft,airplane,46.0,0.8340431451797485
42,butterfly,caterpillars,46.0,0.47038885951042175
43,hair,wig,46.0,0.7381501197814941
44,blossom,buds,46.0,0.9311342835426331
45,highway,road,46.0,0.8756239414215088
46,bunny,rabbit,46.0,0.9335933923721313
47,bread,sandwich,46.0,0.9104628562927246
48,mist,misty,46.0,0.8883976936340332
49,flowers,petals,46.0,0.8918048739433289
50,airplane,flight,46.0,0.8130201697349548
51,fish,fishing,46.0,0.860257089138031
52,ice,snow,46.0,0.8823591470718384
53,bright,sun,45.0,0.8785420060157776
54,shade,tree,45.0,0.8451789021492004
55,bicycle,bike,45.0,0.9662518501281738
56,truck,vehicle,45.0,0.9193069338798523
57,shore,water,45.0,0.8560475707054138
58,boat,fishing,45.0,0.7362501621246338
59,dog,puppy,45.0,0.8727149963378906
60,bride,wedding,45.0,0.9173117876052856
61,birds,hummingbird,45.0,0.7053492665290833
62,sea,water,45.0,0.8886849284172058
63,cow,milk,45.0,0.9224787950515747
64,birds,feathers,45.0,0.8026245832443237
65,skate,skating,45.0,0.874589741230011
66,chapel,church,45.0,0.7557082176208496
67,branch,twigs,45.0,0.7826797962188721
68,concert,musicians,45.0,0.7282348275184631
69,clothes,dress,45.0,0.8411333560943604
70,automobile,vehicle,45.0,0.8813912868499756
71,splash,swimming,45.0,0.6967935562133789
72,bed,furniture,45.0,0.8600850701332092
73,aircraft,flight,45.0,0.8209067583084106
74,reptiles,snake,45.0,0.7581549286842346
75,motorcycle,scooter,45.0,0.5805453658103943
76,coffee,tea,45.0,0.9183122515678406
77,feathers,goose,45.0,0.7854422926902771
78,pool,swimming,45.0,0.822424054145813
79,eyes,face,45.0,0.8979704976081848
80,dirt,dirty,45.0,0.7853934168815613
81,railway,train,45.0,0.712341845035553
82,harbour,port,45.0,0.8864585161209106
83,fruit,strawberry,45.0,0.8351171612739563
84,flight,plane,45.0,0.8347107768058777
85,smoke,smoking,45.0,0.9386577606201172
86,ivy,plant,45.0,0.706936776638031
87,river,stream,45.0,0.9186602830886841
88,lake,water,45.0,0.8697734475135803
89,kittens,kitty,45.0,0.68708336353302
90,snow,snowman,45.0,0.7447092533111572
91,dog,terrier,45.0,0.6629434823989868
92,daffodils,flowers,45.0,0.5899505615234375
93,pond,water,45.0,0.8221994638442993
94,show,television,44.0,0.7106306552886963
95,handwriting,written,44.0,0.8417364358901978
96,flood,water,44.0,0.8304247856140137
97,jazz,musicians,44.0,0.8118472099304199
98,eagle,feathers,44.0,0.8517805337905884
99,grapes,vine,44.0,0.8896297812461853
100,birds,hawk,44.0,0.7718614935874939
101,clothes,outfit,44.0,0.840264081954956
102,exhibition,museum,44.0,0.8587836027145386
103,hand,palm,44.0,0.913420557975769
