,word1,word2,POS,result,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex),bert_cos
0,old,new,A,1.58,2.72,2.81,2,7.25,1,0.41,0.8222609758377075
1,smart,intelligent,A,9.2,1.75,2.46,1,7.11,1,0.67,0.9146268963813782
2,hard,difficult,A,8.77,3.76,2.21,2,5.94,1,1.19,0.8138096928596497
3,happy,cheerful,A,9.55,2.56,2.34,1,5.85,1,2.18,0.8635382652282715
4,hard,easy,A,0.95,3.76,2.07,2,5.82,1,0.93,0.8605921864509583
5,fast,rapid,A,8.75,3.32,3.07,2,5.66,1,1.68,0.8839500546455383
6,happy,glad,A,9.17,2.56,2.36,1,5.49,1,1.59,0.8832162022590637
7,short,long,A,1.23,3.61,3.18,2,5.36,1,1.58,0.8383597731590271
8,stupid,dumb,A,9.58,1.75,2.36,1,5.26,1,1.48,0.9510523080825806
9,weird,strange,A,8.93,1.59,1.86,1,4.26,1,1.3,0.9572615623474121
10,wide,narrow,A,1.03,3.06,3.04,2,4.06,1,0.58,0.9094530344009399
11,bad,awful,A,8.42,1.68,1.92,1,3.41,1,1.74,0.8335763812065125
12,easy,difficult,A,0.58,2.07,2.21,1,2.83,1,0.36,0.8983970284461975
13,bad,terrible,A,7.78,1.68,2.04,1,2.31,1,1.43,0.8549572825431824
14,hard,simple,A,1.38,3.76,1.62,2,2.16,1,1.03,0.8288840055465698
15,smart,dumb,A,0.55,1.75,2.36,1,2.1,1,0.47,0.892106831073761
16,insane,crazy,A,9.57,1.77,2.37,1,2.09,1,0.92,0.9644584655761719
17,happy,mad,A,0.95,2.56,2.76,2,2.07,1,1.4,0.8221798539161682
18,large,huge,A,9.47,3.37,3.54,2,2.0,1,1.27,0.9232044219970703
19,hard,tough,A,8.05,3.76,2.5,2,1.99,1,1.18,0.8419488072395325
20,new,fresh,A,6.83,2.81,1.97,1,1.98,1,1.2,0.8117292523384094
21,sharp,dull,A,0.6,3.86,2.37,2,1.48,1,1.39,0.8327503800392151
22,quick,rapid,A,9.7,2.89,3.07,2,1.38,1,1.14,0.9007745981216431
23,dumb,foolish,A,6.67,2.36,1.84,1,1.34,1,1.36,0.898076593875885
24,wonderful,terrific,A,8.63,1.82,2.07,1,1.17,1,1.63,0.899756908416748
25,strange,odd,A,9.02,1.86,1.7,1,1.16,1,1.04,0.9248095750808716
26,happy,angry,A,1.28,2.56,2.53,1,1.15,1,1.41,0.8455097079277039
27,narrow,broad,A,1.18,3.04,2.45,2,1.0,1,1.18,0.8903101086616516
28,simple,easy,A,9.4,1.62,2.07,1,0.96,1,1.51,0.9492393136024475
29,old,fresh,A,0.87,2.72,1.97,1,0.91,1,1.64,0.8149217367172241
30,apparent,obvious,A,8.47,1.73,2.07,1,0.89,1,1.52,0.9072223901748657
31,inexpensive,cheap,A,8.72,2.22,2.11,1,0.79,1,0.81,0.8859346508979797
32,nice,generous,A,5.0,2.18,2.25,1,0.77,1,1.14,0.9313225746154785
