,word1,word2,result,bert_cos
0,love,sex,6.77,0.8144932985305786
1,tiger,cat,7.35,0.9125480055809021
2,tiger,tiger,10.0,0.9999997019767761
3,book,paper,7.46,0.8216159343719482
4,computer,keyboard,7.62,0.9208623766899109
5,computer,internet,7.58,0.7531627416610718
6,plane,car,5.77,0.8270036578178406
7,train,car,6.31,0.7478919625282288
8,telephone,communication,7.5,0.8014704585075378
9,television,radio,6.77,0.7527604103088379
10,media,radio,7.42,0.7976385354995728
11,drug,abuse,6.85,0.8637601733207703
12,bread,butter,6.19,0.9108771681785583
13,cucumber,potato,5.92,0.5066003203392029
14,doctor,nurse,7.0,0.9088307023048401
15,professor,doctor,6.62,0.8899254202842712
16,student,professor,6.81,0.9036687016487122
17,smart,student,4.62,0.8408922553062439
18,smart,stupid,5.81,0.8891061544418335
19,company,stock,7.08,0.841257631778717
20,stock,market,8.08,0.8781107664108276
21,stock,phone,1.62,0.8128209114074707
22,stock,CD,1.31,0.6305880546569824
23,stock,jaguar,0.92,0.7144965529441833
24,stock,egg,1.81,0.8670148253440857
25,fertility,egg,6.69,0.8361378908157349
26,stock,live,3.73,0.7319779396057129
27,stock,life,0.92,0.7783209085464478
28,book,library,7.46,0.7843694686889648
29,bank,money,8.12,0.8403955698013306
30,wood,forest,7.73,0.8546563982963562
31,money,cash,9.15,0.9072149991989136
32,professor,cucumber,0.31,0.4263876974582672
33,king,cabbage,0.23,0.827584445476532
34,king,queen,8.58,0.9388246536254883
35,king,rook,5.92,0.7705779671669006
36,bishop,rabbi,6.69,0.8068991899490356
37,Jerusalem,Israel,8.46,0.8821684122085571
38,Jerusalem,Palestinian,7.65,0.846069872379303
39,holy,sex,1.62,0.8192448019981384
40,fuck,sex,9.44,0.7519716620445251
41,Maradona,football,8.62,0.5531189441680908
42,football,soccer,9.03,0.9201601147651672
43,football,basketball,6.81,0.8765908479690552
44,football,tennis,6.63,0.8715364933013916
45,tennis,racket,7.56,0.6493718028068542
46,Arafat,peace,6.73,0.6586631536483765
47,Arafat,terror,7.65,0.6550791263580322
48,Arafat,Jackson,2.5,0.6590892672538757
49,law,lawyer,8.38,0.8344277143478394
50,movie,star,7.38,0.8199105262756348
51,movie,popcorn,6.19,0.7899313569068909
52,movie,critic,6.73,0.7721931338310242
53,movie,theater,7.92,0.8280596733093262
54,physics,proton,8.12,0.7271216511726379
55,physics,chemistry,7.35,0.8673180341720581
56,space,chemistry,4.88,0.6979972720146179
57,alcohol,chemistry,5.54,0.7180208563804626
58,vodka,gin,8.46,0.8494113087654114
59,vodka,brandy,8.13,0.9247773885726929
60,drink,car,3.04,0.8106644749641418
61,drink,ear,1.31,0.8396361470222473
62,drink,mouth,5.96,0.7853510975837708
63,drink,eat,6.87,0.9496374726295471
64,baby,mother,7.85,0.8650175929069519
65,drink,mother,2.65,0.8659473061561584
66,car,automobile,8.94,0.8440622091293335
67,gem,jewel,8.96,0.9048972129821777
68,journey,voyage,9.29,0.8545227646827698
69,boy,lad,8.83,0.8961003422737122
70,coast,shore,9.1,0.796613335609436
71,asylum,madhouse,8.87,0.741199791431427
72,magician,wizard,9.02,0.8311396241188049
73,midday,noon,9.29,0.9143108129501343
74,furnace,stove,8.79,0.8970327377319336
75,food,fruit,7.52,0.8268129825592041
76,bird,cock,7.1,0.8204361796379089
77,bird,crane,7.38,0.8912447690963745
78,tool,implement,6.46,0.834078311920166
79,brother,monk,6.27,0.822111189365387
80,crane,implement,2.69,0.83237624168396
81,lad,brother,4.46,0.8634095191955566
82,journey,car,5.85,0.8120390772819519
83,monk,oracle,5.0,0.8247561454772949
84,cemetery,woodland,2.08,0.7970578670501709
85,food,rooster,4.42,0.8225178718566895
86,coast,hill,4.38,0.7532238364219666
87,forest,graveyard,1.85,0.8057372570037842
88,shore,woodland,3.08,0.6017276048660278
89,monk,slave,0.92,0.8186377882957458
90,coast,forest,3.15,0.7995620965957642
91,lad,wizard,0.92,0.8963189721107483
92,chord,smile,0.54,0.770384669303894
93,glass,magician,2.08,0.7836424112319946
94,noon,string,0.54,0.6656502485275269
95,rooster,voyage,0.62,0.7710540890693665
96,money,dollar,8.42,0.8511424660682678
97,money,cash,9.08,0.9072149991989136
98,money,currency,9.04,0.7560442686080933
99,money,wealth,8.27,0.8635600805282593
100,money,property,7.57,0.8145688772201538
101,money,possession,7.29,0.8764564394950867
102,money,bank,8.5,0.8403955698013306
103,money,deposit,7.73,0.8294920325279236
104,money,withdrawal,6.88,0.7417410016059875
105,money,laundering,5.65,0.8408069610595703
106,money,operation,3.31,0.8381170630455017
107,tiger,jaguar,8.0,0.7782595157623291
108,tiger,feline,8.0,0.594275176525116
109,tiger,carnivore,7.08,0.5061181783676147
110,tiger,mammal,6.85,0.8400525450706482
111,tiger,animal,7.0,0.8021153211593628
112,tiger,organism,4.77,0.8624343872070312
113,tiger,fauna,5.62,0.652982771396637
114,tiger,zoo,5.87,0.8319376707077026
115,psychology,psychiatry,8.08,0.9053035378456116
116,psychology,anxiety,7.0,0.7719565033912659
117,psychology,fear,6.85,0.7579441666603088
118,psychology,depression,7.42,0.8158379197120667
119,psychology,clinic,6.58,0.7078083753585815
120,psychology,doctor,6.42,0.6766073703765869
121,psychology,Freud,8.21,0.7708085775375366
122,psychology,mind,7.69,0.6795794367790222
123,psychology,health,7.23,0.7963425517082214
124,psychology,science,6.71,0.7843072414398193
125,psychology,discipline,5.58,0.7135071158409119
126,psychology,cognition,7.48,0.8080452084541321
127,planet,star,8.45,0.8583534359931946
128,planet,constellation,8.06,0.9047524929046631
129,planet,moon,8.08,0.8667232394218445
130,planet,sun,8.02,0.8900332450866699
131,planet,galaxy,8.11,0.9330379366874695
132,planet,space,7.92,0.8850122094154358
133,planet,astronomer,7.94,0.8115318417549133
134,precedent,example,5.85,0.7711949348449707
135,precedent,information,3.85,0.805611252784729
136,precedent,cognition,2.81,0.8237146735191345
137,precedent,law,6.65,0.7822728753089905
138,precedent,collection,2.5,0.8109091520309448
139,precedent,group,1.77,0.8276200294494629
140,precedent,antecedent,6.04,0.5978152751922607
141,cup,coffee,6.58,0.8438013792037964
142,cup,tableware,6.85,0.5358054041862488
143,cup,article,2.4,0.8322044610977173
144,cup,artifact,2.92,0.8452844619750977
145,cup,object,3.69,0.7868369817733765
146,cup,entity,2.15,0.8332262635231018
147,cup,drink,7.25,0.8571606874465942
148,cup,food,5.0,0.8244495391845703
149,cup,substance,1.92,0.8685731291770935
150,cup,liquid,5.9,0.8765164613723755
151,jaguar,cat,7.42,0.7814086675643921
152,jaguar,car,7.27,0.8370993137359619
153,energy,secretary,1.81,0.7665737271308899
154,secretary,senate,5.06,0.8094735741615295
155,energy,laboratory,5.09,0.8344501256942749
156,computer,laboratory,6.78,0.8459939956665039
157,weapon,secret,6.06,0.8284021019935608
158,FBI,fingerprint,6.94,0.620810866355896
159,FBI,investigation,8.31,0.7773252725601196
160,investigation,effort,4.59,0.8882879018783569
