,word1,word2,POS,result,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex),bert_cos
0,old,new,A,1.58,2.72,2.81,2,7.25,1,0.41,0.6504811644554138
1,smart,intelligent,A,9.2,1.75,2.46,1,7.11,1,0.67,0.8581223487854004
2,hard,difficult,A,8.77,3.76,2.21,2,5.94,1,1.19,0.7466411590576172
3,happy,cheerful,A,9.55,2.56,2.34,1,5.85,1,2.18,0.7591286301612854
4,hard,easy,A,0.95,3.76,2.07,2,5.82,1,0.93,0.7984957098960876
5,fast,rapid,A,8.75,3.32,3.07,2,5.66,1,1.68,0.8207371234893799
6,happy,glad,A,9.17,2.56,2.36,1,5.49,1,1.59,0.758825421333313
7,short,long,A,1.23,3.61,3.18,2,5.36,1,1.58,0.725019633769989
8,stupid,dumb,A,9.58,1.75,2.36,1,5.26,1,1.48,0.8989661335945129
9,weird,strange,A,8.93,1.59,1.86,1,4.26,1,1.3,0.9285547733306885
10,wide,narrow,A,1.03,3.06,3.04,2,4.06,1,0.58,0.8652830719947815
11,bad,awful,A,8.42,1.68,1.92,1,3.41,1,1.74,0.7346491813659668
12,easy,difficult,A,0.58,2.07,2.21,1,2.83,1,0.36,0.8389362096786499
13,bad,terrible,A,7.78,1.68,2.04,1,2.31,1,1.43,0.7773985862731934
14,hard,simple,A,1.38,3.76,1.62,2,2.16,1,1.03,0.7134143114089966
15,smart,dumb,A,0.55,1.75,2.36,1,2.1,1,0.47,0.8069855570793152
16,insane,crazy,A,9.57,1.77,2.37,1,2.09,1,0.92,0.9364174604415894
17,happy,mad,A,0.95,2.56,2.76,2,2.07,1,1.4,0.6839527487754822
18,large,huge,A,9.47,3.37,3.54,2,2.0,1,1.27,0.8892212510108948
19,hard,tough,A,8.05,3.76,2.5,2,1.99,1,1.18,0.7727442383766174
20,new,fresh,A,6.83,2.81,1.97,1,1.98,1,1.2,0.7039612531661987
21,sharp,dull,A,0.6,3.86,2.37,2,1.48,1,1.39,0.733814537525177
22,quick,rapid,A,9.7,2.89,3.07,2,1.38,1,1.14,0.858039379119873
23,dumb,foolish,A,6.67,2.36,1.84,1,1.34,1,1.36,0.8173478841781616
24,wonderful,terrific,A,8.63,1.82,2.07,1,1.17,1,1.63,0.8465496897697449
25,strange,odd,A,9.02,1.86,1.7,1,1.16,1,1.04,0.848477303981781
26,happy,angry,A,1.28,2.56,2.53,1,1.15,1,1.41,0.7363479137420654
27,narrow,broad,A,1.18,3.04,2.45,2,1.0,1,1.18,0.8294175863265991
28,simple,easy,A,9.4,1.62,2.07,1,0.96,1,1.51,0.8770565390586853
29,old,fresh,A,0.87,2.72,1.97,1,0.91,1,1.64,0.6547710299491882
30,apparent,obvious,A,8.47,1.73,2.07,1,0.89,1,1.52,0.8619337677955627
31,inexpensive,cheap,A,8.72,2.22,2.11,1,0.79,1,0.81,0.850551426410675
32,nice,generous,A,5.0,2.18,2.25,1,0.77,1,1.14,0.8457316756248474
33,weird,normal,A,0.72,1.59,1.4,1,0.76,1,1.15,0.7396286129951477
34,weird,odd,A,9.2,1.59,1.7,1,0.75,1,1.27,0.8199053406715393
35,bad,immoral,A,7.62,1.68,1.59,1,0.74,1,0.98,0.3762667775154114
36,sad,funny,A,0.95,3.07,2.5,2,0.74,1,1.28,0.7649495601654053
37,wonderful,great,A,8.05,1.82,1.81,1,0.7,1,1.05,0.8105932474136353
38,guilty,ashamed,A,6.38,2.36,1.74,1,0.69,1,0.47,0.5931031703948975
39,beautiful,wonderful,A,6.5,2.16,1.82,1,0.68,1,0.85,0.7976959943771362
