,word1,word2,result,bert_cos
0,love,sex,6.77,0.7027235627174377
1,tiger,cat,7.35,0.8099868297576904
2,tiger,tiger,10.0,0.9999992847442627
3,book,paper,7.46,0.6680765151977539
4,computer,keyboard,7.62,0.8355852961540222
5,computer,internet,7.58,0.6381458640098572
6,plane,car,5.77,0.6692076921463013
7,train,car,6.31,0.5830019116401672
8,telephone,communication,7.5,0.6761152744293213
9,television,radio,6.77,0.6147597432136536
10,media,radio,7.42,0.6476987600326538
11,drug,abuse,6.85,0.76035475730896
12,bread,butter,6.19,0.8355250954627991
13,cucumber,potato,5.92,0.32005631923675537
14,doctor,nurse,7.0,0.8221508264541626
15,professor,doctor,6.62,0.7828795909881592
16,student,professor,6.81,0.8065898418426514
17,smart,student,4.62,0.6886094212532043
18,smart,stupid,5.81,0.818008303642273
19,company,stock,7.08,0.7171797156333923
20,stock,market,8.08,0.787141740322113
21,stock,phone,1.62,0.7007573246955872
22,stock,CD,1.31,0.4528973698616028
23,stock,jaguar,0.92,0.5611864328384399
24,stock,egg,1.81,0.7575978636741638
25,fertility,egg,6.69,0.737196147441864
26,stock,live,3.73,0.6293176412582397
27,stock,life,0.92,0.6383065581321716
28,book,library,7.46,0.616817057132721
29,bank,money,8.12,0.7131393551826477
30,wood,forest,7.73,0.7531639337539673
31,money,cash,9.15,0.8281659483909607
32,professor,cucumber,0.31,0.24980400502681732
33,king,cabbage,0.23,0.7061419486999512
34,king,queen,8.58,0.8823554515838623
35,king,rook,5.92,0.6306660771369934
36,bishop,rabbi,6.69,0.6112449169158936
37,Jerusalem,Israel,8.46,0.7695738077163696
38,Jerusalem,Palestinian,7.65,0.7284076809883118
39,holy,sex,1.62,0.6773377060890198
40,fuck,sex,9.44,0.5931166410446167
41,Maradona,football,8.62,0.18910101056098938
42,football,soccer,9.03,0.8449814915657043
43,football,basketball,6.81,0.7597563862800598
44,football,tennis,6.63,0.7594835758209229
45,tennis,racket,7.56,0.35221558809280396
46,Arafat,peace,6.73,0.3140426278114319
47,Arafat,terror,7.65,0.28169330954551697
48,Arafat,Jackson,2.5,0.30597761273384094
49,law,lawyer,8.38,0.7710744738578796
50,movie,star,7.38,0.6238834261894226
51,movie,popcorn,6.19,0.6165511608123779
52,movie,critic,6.73,0.5510143637657166
53,movie,theater,7.92,0.7134648561477661
54,physics,proton,8.12,0.6792230606079102
55,physics,chemistry,7.35,0.7619979381561279
56,space,chemistry,4.88,0.5441114902496338
57,alcohol,chemistry,5.54,0.600980818271637
58,vodka,gin,8.46,0.7507961392402649
59,vodka,brandy,8.13,0.8498609662055969
60,drink,car,3.04,0.6110140085220337
61,drink,ear,1.31,0.7289766073226929
62,drink,mouth,5.96,0.5751361846923828
63,drink,eat,6.87,0.9071862101554871
64,baby,mother,7.85,0.7457294464111328
65,drink,mother,2.65,0.7296953201293945
66,car,automobile,8.94,0.7253627181053162
67,gem,jewel,8.96,0.8087440729141235
68,journey,voyage,9.29,0.7837828993797302
69,boy,lad,8.83,0.7798387408256531
70,coast,shore,9.1,0.628192126750946
71,asylum,madhouse,8.87,0.3135908544063568
72,magician,wizard,9.02,0.7515687942504883
73,midday,noon,9.29,0.8509927988052368
74,furnace,stove,8.79,0.813454806804657
75,food,fruit,7.52,0.7556903958320618
76,bird,cock,7.1,0.6947800517082214
77,bird,crane,7.38,0.7784485220909119
78,tool,implement,6.46,0.7280431985855103
79,brother,monk,6.27,0.6769273281097412
80,crane,implement,2.69,0.6865541338920593
81,lad,brother,4.46,0.7009841799736023
82,journey,car,5.85,0.5978509783744812
83,monk,oracle,5.0,0.6616628766059875
84,cemetery,woodland,2.08,0.6401182413101196
85,food,rooster,4.42,0.6901704668998718
86,coast,hill,4.38,0.5246261954307556
87,forest,graveyard,1.85,0.6796708703041077
88,shore,woodland,3.08,0.42809221148490906
89,monk,slave,0.92,0.6078369617462158
90,coast,forest,3.15,0.5550394058227539
91,lad,wizard,0.92,0.7615503072738647
92,chord,smile,0.54,0.631668210029602
93,glass,magician,2.08,0.6580936908721924
94,noon,string,0.54,0.4888550341129303
95,rooster,voyage,0.62,0.6496720910072327
96,money,dollar,8.42,0.7721848487854004
97,money,cash,9.08,0.8281659483909607
98,money,currency,9.04,0.6670742630958557
99,money,wealth,8.27,0.8173019886016846
100,money,property,7.57,0.7180690765380859
101,money,possession,7.29,0.7532463073730469
102,money,bank,8.5,0.7131393551826477
103,money,deposit,7.73,0.7184383273124695
104,money,withdrawal,6.88,0.5864813327789307
105,money,laundering,5.65,0.700353741645813
106,money,operation,3.31,0.6963244676589966
107,tiger,jaguar,8.0,0.6714023351669312
108,tiger,feline,8.0,0.3239697217941284
109,tiger,carnivore,7.08,0.21680355072021484
110,tiger,mammal,6.85,0.7170499563217163
111,tiger,animal,7.0,0.7228872776031494
112,tiger,organism,4.77,0.7900961637496948
113,tiger,fauna,5.62,0.5150776505470276
114,tiger,zoo,5.87,0.7306379675865173
115,psychology,psychiatry,8.08,0.8140877485275269
116,psychology,anxiety,7.0,0.6179559230804443
117,psychology,fear,6.85,0.5791530609130859
118,psychology,depression,7.42,0.7034897208213806
119,psychology,clinic,6.58,0.5514266490936279
120,psychology,doctor,6.42,0.5214784741401672
121,psychology,Freud,8.21,0.6247336268424988
122,psychology,mind,7.69,0.4875328838825226
123,psychology,health,7.23,0.6548747420310974
124,psychology,science,6.71,0.6624659299850464
125,psychology,discipline,5.58,0.5373906493186951
126,psychology,cognition,7.48,0.7124233841896057
127,planet,star,8.45,0.7172463536262512
128,planet,constellation,8.06,0.7768878936767578
129,planet,moon,8.08,0.7525532841682434
130,planet,sun,8.02,0.7664180994033813
131,planet,galaxy,8.11,0.8633677959442139
132,planet,space,7.92,0.7852092385292053
133,planet,astronomer,7.94,0.6839431524276733
134,precedent,example,5.85,0.5728561282157898
135,precedent,information,3.85,0.6007433533668518
136,precedent,cognition,2.81,0.664431095123291
137,precedent,law,6.65,0.6655357480049133
138,precedent,collection,2.5,0.6147202253341675
139,precedent,group,1.77,0.6426399946212769
140,precedent,antecedent,6.04,0.3922862410545349
141,cup,coffee,6.58,0.7079445123672485
142,cup,tableware,6.85,0.2327117621898651
143,cup,article,2.4,0.6881358623504639
144,cup,artifact,2.92,0.7012555599212646
145,cup,object,3.69,0.6574873924255371
146,cup,entity,2.15,0.6889856457710266
147,cup,drink,7.25,0.7337388396263123
148,cup,food,5.0,0.6876623630523682
149,cup,substance,1.92,0.7558869123458862
150,cup,liquid,5.9,0.7692142128944397
151,jaguar,cat,7.42,0.6437863111495972
152,jaguar,car,7.27,0.6865774989128113
153,energy,secretary,1.81,0.5945479273796082
154,secretary,senate,5.06,0.6701858639717102
155,energy,laboratory,5.09,0.6758028268814087
156,computer,laboratory,6.78,0.7321863174438477
157,weapon,secret,6.06,0.6727869510650635
158,FBI,fingerprint,6.94,0.30050230026245117
159,FBI,investigation,8.31,0.7234718799591064
160,investigation,effort,4.59,0.8029162287712097
161,Mars,water,2.94,0.5955294370651245
162,Mars,scientist,5.63,0.6316150426864624
163,news,report,8.16,0.7517305612564087
164,canyon,landscape,7.53,0.6866731643676758
165,image,surface,4.56,0.672014057636261
166,discovery,space,6.34,0.6530033349990845
167,water,seepage,6.56,0.4275384247303009
168,sign,recess,2.38,0.7269226312637329
169,Wednesday,news,2.22,0.5458714962005615
170,mile,kilometer,8.66,0.8376418948173523
171,computer,news,4.47,0.6905601620674133
172,territory,surface,5.34,0.6074172854423523
173,atmosphere,landscape,3.69,0.7282193899154663
174,president,medal,3.0,0.7347363829612732
175,war,troops,8.13,0.6655337810516357
176,record,number,6.31,0.5000724792480469
177,skin,eye,6.22,0.7746179699897766
178,Japanese,American,6.5,0.6132164597511292
179,theater,history,3.91,0.6455001831054688
180,volunteer,motto,2.56,0.6139380931854248
181,prejudice,recognition,3.0,0.7363539934158325
182,decoration,valor,5.63,0.4437379539012909
183,century,year,7.59,0.47890469431877136
184,century,nation,3.16,0.44184139370918274
185,delay,racism,1.19,0.6480498313903809
186,delay,news,3.31,0.7493374347686768
187,minister,party,6.63,0.624687910079956
188,peace,plan,4.75,0.720189094543457
189,minority,peace,3.69,0.6212518811225891
190,attempt,peace,4.25,0.6520365476608276
191,government,crisis,6.56,0.593174397945404
192,deployment,departure,4.25,0.6221818327903748
193,deployment,withdrawal,5.88,0.6327278017997742
194,energy,crisis,5.94,0.8168672323226929
195,announcement,news,7.56,0.7932875752449036
196,announcement,effort,2.75,0.7810104489326477
197,stroke,hospital,7.03,0.7406480312347412
198,disability,death,5.47,0.6810837984085083
199,victim,emergency,6.47,0.6744629144668579
200,treatment,recovery,7.91,0.806265115737915
201,journal,association,4.97,0.7202610969543457
202,doctor,personnel,5.0,0.5906634330749512
203,doctor,liability,5.19,0.6712965965270996
204,liability,insurance,7.03,0.7753540873527527
205,school,center,3.44,0.6601438522338867
206,reason,hypertension,2.31,0.22369049489498138
207,reason,criterion,5.91,0.589544415473938
208,hundred,percent,7.38,0.7909690141677856
209,Harvard,Yale,8.13,0.9031659364700317
210,hospital,infrastructure,4.63,0.6687913537025452
211,death,row,5.25,0.5689749121665955
212,death,inmate,5.03,0.5888838768005371
213,lawyer,evidence,6.69,0.6619738340377808
214,life,death,7.88,0.7952895164489746
215,life,term,4.5,0.6540743708610535
216,word,similarity,4.75,0.7270983457565308
217,board,recommendation,4.47,0.7364184260368347
218,governor,interview,3.25,0.45702415704727173
219,OPEC,country,5.63,0.22908557951450348
220,peace,atmosphere,3.69,0.7588309645652771
221,peace,insurance,2.94,0.641513466835022
222,territory,kilometer,5.28,0.5271248817443848
223,travel,activity,5.0,0.6406441926956177
224,competition,price,6.44,0.6605185270309448
225,consumer,confidence,4.13,0.6563446521759033
226,consumer,energy,4.75,0.7644162774085999
227,problem,airport,2.38,0.5150249600410461
228,car,flight,4.94,0.4728984534740448
229,credit,card,8.06,0.6393726468086243
230,credit,information,5.31,0.6387832164764404
231,hotel,reservation,8.03,0.642338752746582
232,grocery,money,5.94,0.7432305812835693
233,registration,arrangement,6.0,0.677647590637207
234,arrangement,accommodation,5.41,0.7357052564620972
235,month,hotel,1.81,0.6303235292434692
236,type,kind,8.97,0.8207038044929504
237,arrival,hotel,6.0,0.6374337673187256
238,bed,closet,6.72,0.6694132089614868
239,closet,clothes,8.0,0.6961123943328857
240,situation,conclusion,4.81,0.6978817582130432
241,situation,isolation,3.88,0.7805819511413574
242,impartiality,interest,5.16,0.31450143456459045
243,direction,combination,2.25,0.7725732922554016
244,street,place,6.44,0.6088677048683167
245,street,avenue,8.88,0.8066518306732178
246,street,block,6.88,0.6991571187973022
247,street,children,4.94,0.5245002508163452
248,listing,proximity,2.56,0.669053316116333
249,listing,category,6.38,0.6982324123382568
250,cell,phone,7.81,0.7097225785255432
251,production,hike,1.75,0.4744267165660858
252,benchmark,index,4.25,0.4101826250553131
253,media,trading,3.88,0.5522398948669434
254,media,gain,2.88,0.4854956567287445
255,dividend,payment,7.63,0.2820989787578583
256,dividend,calculation,6.48,0.33078253269195557
257,calculation,computation,8.44,0.831228494644165
258,currency,market,7.5,0.603126049041748
259,OPEC,oil,8.59,0.34931236505508423
260,oil,stock,6.34,0.7276410460472107
261,announcement,production,3.38,0.5863068103790283
262,announcement,warning,6.0,0.8544604778289795
263,profit,warning,3.88,0.6558867692947388
264,profit,loss,7.63,0.7077723145484924
265,dollar,yen,7.78,0.7979287505149841
266,dollar,buck,9.22,0.7175682783126831
267,dollar,profit,7.38,0.7105170488357544
268,dollar,loss,6.09,0.6560397744178772
269,computer,software,8.5,0.7907763719558716
270,network,hardware,8.31,0.5972195267677307
271,phone,equipment,7.13,0.5901139974594116
272,equipment,maker,5.91,0.5581261515617371
273,luxury,car,6.47,0.597715437412262
274,five,month,3.38,0.6461186408996582
275,report,gain,3.63,0.6536858677864075
276,investor,earning,7.13,0.7082782983779907
277,liquid,water,7.89,0.8164982199668884
278,baseball,season,5.97,0.478451132774353
279,game,victory,7.03,0.6306702494621277
280,game,team,7.69,0.670573890209198
281,marathon,sprint,7.47,0.6619372367858887
282,game,series,6.19,0.6772809028625488
283,game,defeat,6.97,0.6632816791534424
284,seven,series,3.56,0.5552284121513367
285,seafood,sea,7.47,0.6804605722427368
286,seafood,food,8.34,0.7821241617202759
287,seafood,lobster,8.7,0.6694754362106323
288,lobster,food,7.81,0.7218882441520691
289,lobster,wine,5.7,0.7220279574394226
290,food,preparation,6.22,0.7530303001403809
291,video,archive,6.34,0.47234994173049927
292,start,year,4.06,0.45468395948410034
293,start,match,4.47,0.5146180391311646
294,game,round,5.97,0.6557035446166992
295,boxing,round,7.61,0.5530905723571777
296,championship,tournament,8.36,0.677430272102356
297,fighting,defeating,7.41,0.7011375427246094
298,line,insurance,2.69,0.5601550936698914
299,day,summer,3.94,0.6836840510368347
300,summer,drought,7.16,0.6298702955245972
301,summer,nature,5.63,0.5544559955596924
302,day,dawn,7.53,0.6963321566581726
303,nature,environment,8.31,0.7057268023490906
304,environment,ecology,8.81,0.8004606366157532
305,nature,man,6.25,0.5593115091323853
306,man,woman,8.3,0.8857636451721191
307,man,governor,5.25,0.638759970664978
308,murder,manslaughter,8.53,0.45766595005989075
309,soap,opera,7.94,0.6217259168624878
310,opera,performance,6.88,0.6903003454208374
311,life,lesson,5.94,0.6098731756210327
312,focus,life,4.06,0.6900542974472046
313,production,crew,6.25,0.637976884841919
314,television,film,7.72,0.7366625070571899
315,lover,quarrel,6.19,0.5272181034088135
316,viewer,serial,2.97,0.6499298810958862
317,possibility,girl,1.94,0.7372637987136841
318,population,development,3.75,0.6128460764884949
319,morality,importance,3.31,0.7998388409614563
320,morality,marriage,3.69,0.6776594519615173
321,Mexico,Brazil,7.44,0.6581918597221375
322,gender,equality,6.41,0.6185503005981445
323,change,attitude,5.44,0.6453406810760498
324,family,planning,6.25,0.7243615984916687
325,opera,industry,2.63,0.6277507543563843
326,sugar,approach,0.88,0.7171685099601746
327,practice,institution,3.19,0.677582323551178
328,ministry,culture,4.69,0.5942566394805908
329,problem,challenge,6.75,0.7091944813728333
330,size,prominence,5.31,0.8423261642456055
331,country,citizen,7.31,0.4601980149745941
332,planet,people,5.75,0.7286424040794373
333,development,issue,3.97,0.5885763764381409
