,word1,word2,POS,result,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex),bert_cos
0,old,new,A,1.58,2.72,2.81,2,7.25,1,0.41,
1,smart,intelligent,A,9.2,1.75,2.46,1,7.11,1,0.67,
2,hard,difficult,A,8.77,3.76,2.21,2,5.94,1,1.19,
3,happy,cheerful,A,9.55,2.56,2.34,1,5.85,1,2.18,
4,hard,easy,A,0.95,3.76,2.07,2,5.82,1,0.93,
5,fast,rapid,A,8.75,3.32,3.07,2,5.66,1,1.68,
6,happy,glad,A,9.17,2.56,2.36,1,5.49,1,1.59,
7,short,long,A,1.23,3.61,3.18,2,5.36,1,1.58,
8,stupid,dumb,A,9.58,1.75,2.36,1,5.26,1,1.48,0.5872436165809631
9,weird,strange,A,8.93,1.59,1.86,1,4.26,1,1.3,
10,wide,narrow,A,1.03,3.06,3.04,2,4.06,1,0.58,
11,bad,awful,A,8.42,1.68,1.92,1,3.41,1,1.74,
12,easy,difficult,A,0.58,2.07,2.21,1,2.83,1,0.36,
13,bad,terrible,A,7.78,1.68,2.04,1,2.31,1,1.43,
14,hard,simple,A,1.38,3.76,1.62,2,2.16,1,1.03,
15,smart,dumb,A,0.55,1.75,2.36,1,2.1,1,0.47,
16,insane,crazy,A,9.57,1.77,2.37,1,2.09,1,0.92,0.9999997019767761
17,happy,mad,A,0.95,2.56,2.76,2,2.07,1,1.4,
18,large,huge,A,9.47,3.37,3.54,2,2.0,1,1.27,
19,hard,tough,A,8.05,3.76,2.5,2,1.99,1,1.18,
20,new,fresh,A,6.83,2.81,1.97,1,1.98,1,1.2,
21,sharp,dull,A,0.6,3.86,2.37,2,1.48,1,1.39,
22,quick,rapid,A,9.7,2.89,3.07,2,1.38,1,1.14,
23,dumb,foolish,A,6.67,2.36,1.84,1,1.34,1,1.36,
24,wonderful,terrific,A,8.63,1.82,2.07,1,1.17,1,1.63,
25,strange,odd,A,9.02,1.86,1.7,1,1.16,1,1.04,
26,happy,angry,A,1.28,2.56,2.53,1,1.15,1,1.41,
27,narrow,broad,A,1.18,3.04,2.45,2,1.0,1,1.18,
28,simple,easy,A,9.4,1.62,2.07,1,0.96,1,1.51,
29,old,fresh,A,0.87,2.72,1.97,1,0.91,1,1.64,
30,apparent,obvious,A,8.47,1.73,2.07,1,0.89,1,1.52,
31,inexpensive,cheap,A,8.72,2.22,2.11,1,0.79,1,0.81,
32,nice,generous,A,5.0,2.18,2.25,1,0.77,1,1.14,
33,weird,normal,A,0.72,1.59,1.4,1,0.76,1,1.15,
34,weird,odd,A,9.2,1.59,1.7,1,0.75,1,1.27,
35,bad,immoral,A,7.62,1.68,1.59,1,0.74,1,0.98,
36,sad,funny,A,0.95,3.07,2.5,2,0.74,1,1.28,0.5554423928260803
37,wonderful,great,A,8.05,1.82,1.81,1,0.7,1,1.05,
38,guilty,ashamed,A,6.38,2.36,1.74,1,0.69,1,0.47,
39,beautiful,wonderful,A,6.5,2.16,1.82,1,0.68,1,0.85,
40,confident,sure,A,8.27,2.62,1.73,1,0.68,1,1.21,
41,dumb,dense,A,7.27,2.36,3.14,2,0.68,1,0.43,0.5330821871757507
42,large,big,A,9.55,3.37,3.66,2,0.68,1,0.44,
43,nice,cruel,A,0.67,2.18,2.11,1,0.49,1,1.53,0.5838161110877991
44,impatient,anxious,A,6.03,2.38,1.68,1,0.47,1,1.22,
45,big,broad,A,6.73,3.66,2.45,2,0.47,1,1.68,
46,strong,proud,A,3.17,3.14,2.07,2,0.42,0,1.46,
47,unnecessary,necessary,A,0.63,1.56,1.8,1,0.41,0,0.61,
48,restless,young,A,1.6,2.46,3.16,2,0.41,0,0.85,
49,dumb,intelligent,A,0.75,2.36,2.46,1,0.37,0,1.5,0.5700858235359192
50,bad,great,A,0.35,1.68,1.81,1,0.35,0,1.49,
51,difficult,simple,A,0.87,2.21,1.62,1,0.34,0,0.44,
52,necessary,important,A,7.37,1.8,2.14,1,0.34,0,1.36,
53,bad,terrific,A,0.65,1.68,2.07,1,0.28,0,1.43,
54,mad,glad,A,1.45,2.76,2.36,1,0.28,0,1.17,
55,honest,guilty,A,1.18,1.66,2.36,1,0.27,0,1.68,
56,easy,tough,A,0.52,2.07,2.5,1,0.27,0,1.87,
57,easy,flexible,A,4.1,2.07,2.64,1,0.27,0,1.08,
58,certain,sure,A,8.42,1.68,1.73,1,0.23,0,1.29,
59,essential,necessary,A,8.97,1.52,1.8,1,0.21,0,1.11,
60,different,normal,A,1.08,1.97,1.4,1,0.21,0,1.75,
61,sly,clever,A,7.25,2.03,1.79,1,0.21,0,1.41,
62,crucial,important,A,8.82,2.08,2.14,1,0.21,0,1.25,
63,harsh,cruel,A,8.18,2.23,2.11,1,0.21,0,1.66,
64,childish,foolish,A,5.5,2.52,1.84,1,0.21,0,1.45,
65,scarce,rare,A,9.17,2.57,1.96,1,0.21,0,1.21,
66,friendly,generous,A,5.9,2.32,2.25,1,0.21,0,0.6,
67,fragile,frigid,A,2.38,2.86,3.28,2,0.21,0,0.84,
68,long,narrow,A,3.57,3.18,3.04,2,0.21,0,1.62,
69,big,heavy,A,6.18,3.66,3.37,2,0.21,0,1.54,
70,rough,frigid,A,2.47,3.83,3.28,2,0.21,0,1.37,
71,bizarre,strange,A,9.37,1.79,1.86,1,0.2,0,1.54,
72,illegal,immoral,A,4.28,2.37,1.59,1,0.2,0,1.57,
73,bad,guilty,A,4.2,1.68,2.36,1,0.2,0,1.47,
