,word1,word2,result,bert_cos
0,love,sex,6.77,0.6440552473068237
1,tiger,cat,7.35,0.8179791569709778
2,tiger,tiger,10.0,0.9999992847442627
3,book,paper,7.46,0.8049523830413818
4,computer,keyboard,7.62,
5,computer,internet,7.58,0.694782018661499
6,plane,car,5.77,
7,train,car,6.31,0.8247359991073608
8,telephone,communication,7.5,0.8179421424865723
9,television,radio,6.77,0.7465243935585022
10,media,radio,7.42,
11,drug,abuse,6.85,0.7535333633422852
12,bread,butter,6.19,0.7501557469367981
13,cucumber,potato,5.92,0.8451909422874451
14,doctor,nurse,7.0,
15,professor,doctor,6.62,
16,student,professor,6.81,0.7512118220329285
17,smart,student,4.62,
18,smart,stupid,5.81,
19,company,stock,7.08,0.8260656595230103
20,stock,market,8.08,
21,stock,phone,1.62,0.5974127054214478
22,stock,CD,1.31,0.5577728152275085
23,stock,jaguar,0.92,0.4879358112812042
24,stock,egg,1.81,0.5934022665023804
25,fertility,egg,6.69,0.7464693784713745
26,stock,live,3.73,
27,stock,life,0.92,0.6187553405761719
28,book,library,7.46,0.802772045135498
29,bank,money,8.12,0.8196133971214294
30,wood,forest,7.73,0.6839087605476379
31,money,cash,9.15,0.811068594455719
32,professor,cucumber,0.31,0.6008731722831726
33,king,cabbage,0.23,0.5929490327835083
34,king,queen,8.58,
35,king,rook,5.92,
36,bishop,rabbi,6.69,0.7548435926437378
37,Jerusalem,Israel,8.46,0.8770961761474609
38,Jerusalem,Palestinian,7.65,0.8695918321609497
39,holy,sex,1.62,0.5242496728897095
40,fuck,sex,9.44,0.5832561254501343
41,Maradona,football,8.62,0.5629358887672424
42,football,soccer,9.03,0.8862468600273132
43,football,basketball,6.81,0.7956658005714417
44,football,tennis,6.63,0.7937881946563721
45,tennis,racket,7.56,
46,Arafat,peace,6.73,0.3836093544960022
47,Arafat,terror,7.65,
48,Arafat,Jackson,2.5,
49,law,lawyer,8.38,0.6829012036323547
50,movie,star,7.38,0.471399188041687
51,movie,popcorn,6.19,0.5202025771141052
52,movie,critic,6.73,0.5114322304725647
53,movie,theater,7.92,0.5335684418678284
54,physics,proton,8.12,0.5117961168289185
55,physics,chemistry,7.35,0.594308614730835
56,space,chemistry,4.88,0.7176743149757385
57,alcohol,chemistry,5.54,0.6989122033119202
58,vodka,gin,8.46,0.7385846376419067
59,vodka,brandy,8.13,0.6927312016487122
60,drink,car,3.04,0.8256135582923889
61,drink,ear,1.31,0.6246026754379272
62,drink,mouth,5.96,0.7246400117874146
63,drink,eat,6.87,
64,baby,mother,7.85,0.3825647234916687
65,drink,mother,2.65,0.38158127665519714
66,car,automobile,8.94,0.9999995231628418
67,gem,jewel,8.96,
68,journey,voyage,9.29,
69,boy,lad,8.83,
70,coast,shore,9.1,0.9343785643577576
71,asylum,madhouse,8.87,
72,magician,wizard,9.02,
73,midday,noon,9.29,0.999999463558197
74,furnace,stove,8.79,0.8047884702682495
75,food,fruit,7.52,0.66204434633255
76,bird,cock,7.1,
77,bird,crane,7.38,
78,tool,implement,6.46,
79,brother,monk,6.27,0.7431955337524414
80,crane,implement,2.69,
81,lad,brother,4.46,
82,journey,car,5.85,
83,monk,oracle,5.0,0.7373366951942444
84,cemetery,woodland,2.08,0.7189155220985413
85,food,rooster,4.42,0.6091116666793823
86,coast,hill,4.38,0.779201090335846
87,forest,graveyard,1.85,0.6968626379966736
88,shore,woodland,3.08,0.7752162218093872
89,monk,slave,0.92,0.7325897812843323
90,coast,forest,3.15,0.7548648715019226
91,lad,wizard,0.92,
92,chord,smile,0.54,
93,glass,magician,2.08,
94,noon,string,0.54,
95,rooster,voyage,0.62,
