word1,word2,MEN,cos
sun,sunlight,50.0,0.7311999797821045
automobile,car,50.0,0.7790265083312988
river,water,49.0,0.6164912581443787
stairs,staircase,49.0,0.8096537590026855
morning,sunrise,49.0,0.5868372917175293
rain,storm,49.0,0.5987151265144348
cat,kittens,49.0,0.6408226490020752
dance,dancers,49.0,0.7246683239936829
camera,photography,49.0,0.6535511016845703
cat,feline,48.0,0.7353993058204651
sunny,sunshine,48.0,0.6625886559486389
pregnancy,pregnant,48.0,0.71824711561203
beach,sand,48.0,0.6327954530715942
bakery,bread,48.0,0.5425130724906921
flowers,garden,48.0,0.5542275309562683
grass,lawn,48.0,0.6979274749755859
copper,metal,48.0,0.6890528202056885
photos,photography,47.0,0.6283731460571289
cemetery,graveyard,47.0,0.7625916004180908
gravestone,graveyard,47.0,0.6044475436210632
sun,sunshine,47.0,0.713297426700592
black,dark,47.0,0.6173043251037598
cathedral,church,47.0,0.7069301605224609
frozen,ice,47.0,0.6164094805717468
station,subway,47.0,0.5715880393981934
children,kids,46.0,0.8280648589134216
aquarium,fish,46.0,0.5553613305091858
light,lighting,46.0,0.6500517725944519
fungi,mushrooms,46.0,0.645013153553009
frost,snow,46.0,0.6815739274024963
burn,flame,46.0,0.6435431241989136
ocean,sea,46.0,0.8216315507888794
candy,chocolate,46.0,0.698885977268219
car,vehicle,46.0,0.7870852947235107
concert,music,46.0,0.6283620595932007
photos,picture,46.0,0.6779699325561523
grapes,wine,46.0,0.6758527755737305
bath,bathroom,46.0,0.6607969999313354
buds,flowers,46.0,0.5789997577667236
cat,kitty,46.0,0.6920946836471558
ocean,water,46.0,0.6030240654945374
aircraft,airplane,46.0,0.8120712637901306
butterfly,caterpillars,46.0,0.5316051840782166
hair,wig,46.0,0.6731674075126648
blossom,buds,46.0,0.572364330291748
highway,road,46.0,0.838718593120575
bunny,rabbit,46.0,0.7099077105522156
bread,sandwich,46.0,0.5552367568016052
mist,misty,46.0,0.7122564315795898
flowers,petals,46.0,0.725685715675354
airplane,flight,46.0,0.7201812863349915
fish,fishing,46.0,0.7492530941963196
ice,snow,46.0,0.7147932648658752
bright,sun,45.0,0.49835264682769775
shade,tree,45.0,0.5575742125511169
bicycle,bike,45.0,0.8832371234893799
truck,vehicle,45.0,0.7205182909965515
shore,water,45.0,0.5224941968917847
boat,fishing,45.0,0.5995876789093018
dog,puppy,45.0,0.8071780800819397
bride,wedding,45.0,0.6891241669654846
birds,hummingbird,45.0,0.5423849821090698
sea,water,45.0,0.629591703414917
cow,milk,45.0,0.655744194984436
birds,feathers,45.0,0.545238733291626
skate,skating,45.0,0.7887721657752991
chapel,church,45.0,0.7584555745124817
branch,twigs,45.0,0.47363319993019104
concert,musicians,45.0,0.4656449854373932
clothes,dress,45.0,0.7290387749671936
automobile,vehicle,45.0,0.6719245910644531
splash,swimming,45.0,0.4016650319099426
bed,furniture,45.0,0.44511187076568604
aircraft,flight,45.0,0.6799029111862183
reptiles,snake,45.0,0.5395238399505615
motorcycle,scooter,45.0,0.7254208326339722
coffee,tea,45.0,0.7583761811256409
feathers,goose,45.0,0.460191935300827
pool,swimming,45.0,0.6138811111450195
eyes,face,45.0,0.5721100568771362
dirt,dirty,45.0,0.6616923809051514
railway,train,45.0,0.6163439154624939
harbour,port,45.0,0.6722981929779053
fruit,strawberry,45.0,0.6172069907188416
flight,plane,45.0,0.6882784962654114
smoke,smoking,45.0,0.7441245913505554
ivy,plant,45.0,0.2933948338031769
river,stream,45.0,0.6809595227241516
lake,water,45.0,0.6357027888298035
kittens,kitty,45.0,0.6306918859481812
snow,snowman,45.0,0.6754568219184875
dog,terrier,45.0,0.7445011734962463
daffodils,flowers,45.0,0.6590147614479065
pond,water,45.0,0.5452431440353394
show,television,44.0,0.532651424407959
handwriting,written,44.0,0.4507560431957245
flood,water,44.0,0.5433740615844727
jazz,musicians,44.0,0.5507345795631409
eagle,feathers,44.0,0.430763840675354
grapes,vine,44.0,0.6236100196838379
birds,hawk,44.0,0.4763304889202118
clothes,outfit,44.0,0.5979773998260498
exhibition,museum,44.0,0.6964682936668396
hand,palm,44.0,0.5816850066184998
grave,graveyard,44.0,0.6330772042274475
berry,strawberry,44.0,0.7113983035087585
forest,oak,44.0,0.4807038903236389
crochet,knitting,44.0,0.6859164834022522
birds,eagle,44.0,0.4769575595855713
canine,puppy,44.0,0.6241333484649658
bar,cocktail,44.0,0.4739476442337036
bar,pub,44.0,0.5476511716842651
sunlight,sunshine,44.0,0.7159228920936584
apple,fruit,44.0,0.6596963405609131
sun,sunrise,44.0,0.6489596366882324
gymnastics,sports,44.0,0.64872145652771
sailing,ship,44.0,0.6646199226379395
beach,sea,44.0,0.6420611143112183
game,hockey,44.0,0.48734334111213684
bed,pillow,44.0,0.6944769620895386
daffodils,tulip,44.0,0.5036930441856384
flowers,plant,44.0,0.5308212041854858
fire,smoke,44.0,0.6332402229309082
canine,dog,44.0,0.7569928169250488
bracelet,jewelry,44.0,0.5431661009788513
feline,kitty,44.0,0.5815829634666443
architecture,building,44.0,0.6187096238136292
shop,shopping,44.0,0.6466913223266602
highway,traffic,44.0,0.6170660257339478
lizard,reptiles,44.0,0.5749593377113342
music,piano,44.0,0.6015440821647644
strawberry,sweet,44.0,0.5443111062049866
snow,winter,44.0,0.6181326508522034
autumn,spring,44.0,0.814831018447876
bacon,meat,44.0,0.6322404146194458
raspberry,strawberry,44.0,0.7087898850440979
chipmunk,squirrel,44.0,0.6656069755554199
coast,harbor,44.0,0.5156015157699585
dress,skirt,44.0,0.6216291189193726
sun,sunny,44.0,0.5538604259490967
lily,tulip,44.0,0.5579501986503601
grave,gravestone,44.0,0.6818229556083679
bright,sunny,44.0,0.6289039850234985
dandelion,plant,44.0,0.5183622241020203
light,sunlight,44.0,0.6345473527908325
hill,mountain,43.0,0.7736625671386719
burger,food,43.0,0.508425772190094
sea,shore,43.0,0.7250960469245911
feathers,peacock,43.0,0.42513757944107056
children,mother,43.0,0.6391701102256775
night,sunset,43.0,0.5426558256149292
orange,peel,43.0,0.5077136754989624
subway,train,43.0,0.5745076537132263
camera,lens,43.0,0.6678879857063293
daisy,petals,43.0,0.48952215909957886
aircraft,wing,43.0,0.5017489194869995
bloom,flowers,43.0,0.5881138443946838
clothes,jacket,43.0,0.5728861093521118
dinner,restaurant,43.0,0.6065356731414795
swim,swimming,43.0,0.8053238987922668
cemetery,gravestone,43.0,0.6703022122383118
cigarette,smoke,43.0,0.6401194930076599
shirt,skirt,43.0,0.5425201654434204
baby,pregnant,43.0,0.6606405973434448
cherry,fruit,43.0,0.5220097899436951
beef,meat,43.0,0.7954249978065491
blossom,daffodils,43.0,0.5101739168167114
bloom,blossom,43.0,0.7207814455032349
maple,oak,43.0,0.6190077066421509
frost,winter,43.0,0.5989310145378113
colour,pink,43.0,0.5969240069389343
dog,poodle,43.0,0.6928843855857849
lantern,light,43.0,0.5343817472457886
coast,sea,43.0,0.6583549380302429
tunnel,underground,43.0,0.5977567434310913
dog,pets,43.0,0.6207569241523743
hair,haircut,43.0,0.6660412549972534
day,sunset,43.0,0.5124025940895081
bikini,swimsuit,43.0,0.8044940233230591
rail,railway,43.0,0.775789201259613
art,museum,43.0,0.5995402932167053
painting,portrait,43.0,0.6658906936645508
dress,wedding,43.0,0.5200392007827759
poodle,puppy,43.0,0.6348692178726196
port,ship,43.0,0.63506680727005
bloom,tulip,43.0,0.5097209215164185
cold,winter,43.0,0.6168051362037659
bakery,cake,43.0,0.5510682463645935
building,roof,43.0,0.6039316058158875
iron,steel,43.0,0.7059487700462341
birds,stork,43.0,0.4758167266845703
lily,plant,43.0,0.4461926221847534
eat,food,43.0,0.6080240607261658
bathroom,kitchen,43.0,0.7239217758178711
jazz,music,43.0,0.7019184231758118
fabric,wool,43.0,0.593407154083252
aquarium,tank,43.0,0.5104839205741882
fire,flame,43.0,0.694236159324646
bloom,rose,43.0,0.5030630826950073
leaf,nature,43.0,0.396263062953949
town,village,43.0,0.8082800507545471
apple,orange,43.0,0.5618224740028381
dawn,sunrise,43.0,0.7275101542472839
engine,gasoline,43.0,0.5056028366088867
oak,tree,43.0,0.542925238609314
guitar,piano,43.0,0.7187036871910095
chocolate,dessert,43.0,0.5933962464332581
cat,paws,43.0,0.5594888925552368
birds,goose,43.0,0.4959038496017456
blue,sky,43.0,0.6282973885536194
pool,swim,43.0,0.5504273772239685
bracelet,necklace,42.0,0.7484509944915771
fruit,salad,42.0,0.5132079124450684
eggs,nest,42.0,0.5552066564559937
boat,sailing,42.0,0.688949465751648
birds,crow,42.0,0.5005523562431335
birds,flamingo,42.0,0.5217399597167969
day,sunshine,42.0,0.40661174058914185
hockey,sports,42.0,0.6512511968612671
burger,eat,42.0,0.5016605854034424
fruit,raspberry,42.0,0.5511796474456787
lunch,sandwich,42.0,0.5613554120063782
feet,toes,42.0,0.6163696050643921
baby,mother,42.0,0.7046976089477539
amphibians,frog,42.0,0.5653983950614929
burn,fire,42.0,0.6858620047569275
hockey,ice,42.0,0.6468451619148254
cold,frozen,42.0,0.6222918033599854
oak,wood,42.0,0.6668795943260193
photographer,photography,42.0,0.7144188284873962
man,women,42.0,0.5464898347854614
hair,redhead,42.0,0.4969367980957031
harbor,port,42.0,0.6046866774559021
