word1,word2,SimLex,cos
old,new,1.58,0.7334614992141724
smart,intelligent,9.2,0.7729886770248413
hard,difficult,8.77,0.7293908596038818
happy,cheerful,9.55,0.6847628355026245
hard,easy,0.95,0.6761718988418579
fast,rapid,8.75,0.7300246953964233
happy,glad,9.17,0.7579039931297302
short,long,1.23,0.7923824787139893
stupid,dumb,9.58,0.8691293597221375
weird,strange,8.93,0.874009907245636
wide,narrow,1.03,0.6897677183151245
bad,awful,8.42,0.7546516060829163
easy,difficult,0.58,0.7429063320159912
bad,terrible,7.78,0.7740477323532104
hard,simple,1.38,0.5419505834579468
smart,dumb,0.55,0.725004255771637
insane,crazy,9.57,0.8300460577011108
happy,mad,0.95,0.5403878092765808
large,huge,9.47,0.8290103077888489
hard,tough,8.05,0.7670155167579651
new,fresh,6.83,0.6608616709709167
sharp,dull,0.6,0.6115970611572266
quick,rapid,9.7,0.7316055297851562
dumb,foolish,6.67,0.7238550782203674
wonderful,terrific,8.63,0.8442076444625854
strange,odd,9.02,0.8200862407684326
happy,angry,1.28,0.5683780908584595
narrow,broad,1.18,0.7883573174476624
simple,easy,9.4,0.7413909435272217
old,fresh,0.87,0.5567376017570496
apparent,obvious,8.47,0.8351479768753052
inexpensive,cheap,8.72,0.8434293866157532
nice,generous,5.0,0.6000680923461914
weird,normal,0.72,0.584828794002533
weird,odd,9.2,0.8350921869277954
bad,immoral,7.62,0.5708217024803162
sad,funny,0.95,0.6909459829330444
wonderful,great,8.05,0.7983271479606628
guilty,ashamed,6.38,0.5435371398925781
beautiful,wonderful,6.5,0.8029720783233643
confident,sure,8.27,0.6412854194641113
dumb,dense,7.27,0.4393444061279297
large,big,9.55,0.7975713610649109
nice,cruel,0.67,0.47964441776275635
impatient,anxious,6.03,0.7246063947677612
big,broad,6.73,0.6038698554039001
strong,proud,3.17,0.5433725118637085
unnecessary,necessary,0.63,0.6683971881866455
restless,young,1.6,0.5517926216125488
dumb,intelligent,0.75,0.6069486141204834
bad,great,0.35,0.6238561272621155
difficult,simple,0.87,0.5833849310874939
necessary,important,7.37,0.7017653584480286
bad,terrific,0.65,0.6180799603462219
mad,glad,1.45,0.4761384427547455
honest,guilty,1.18,0.471829354763031
easy,tough,0.52,0.6569677591323853
easy,flexible,4.1,0.5857177972793579
certain,sure,8.42,0.6197949051856995
essential,necessary,8.97,0.7996558547019958
different,normal,1.08,0.5799402594566345
sly,clever,7.25,0.7224304676055908
crucial,important,8.82,0.8639751076698303
harsh,cruel,8.18,0.7574156522750854
childish,foolish,5.5,0.734535813331604
scarce,rare,9.17,0.5859357118606567
friendly,generous,5.9,0.6417242884635925
fragile,frigid,2.38,0.42273011803627014
long,narrow,3.57,0.5651790499687195
big,heavy,6.18,0.6193584203720093
rough,frigid,2.47,0.4601258635520935
bizarre,strange,9.37,0.828062117099762
illegal,immoral,4.28,0.6706095933914185
bad,guilty,4.2,0.4878080189228058
modern,ancient,0.73,0.7895137667655945
new,ancient,0.23,0.5896477103233337
dull,funny,0.55,0.5820397138595581
happy,young,2.0,0.4674294590950012
easy,big,1.12,0.529521107673645
great,awful,1.17,0.6870630979537964
tiny,huge,0.6,0.7115101218223572
polite,proper,7.63,0.5049607753753662
modest,ashamed,2.65,0.29840826988220215
exotic,rare,8.05,0.6037163734436035
dumb,clever,1.17,0.6726242899894714
delightful,wonderful,8.65,0.8264497518539429
noticeable,obvious,8.48,0.7036618590354919
afraid,anxious,5.07,0.6583638787269592
formal,proper,8.02,0.6364849209785461
dreary,dull,8.25,0.7702756524085999
delightful,cheerful,6.58,0.6991701722145081
unhappy,mad,5.95,0.5761134028434753
sad,terrible,5.4,0.7006862759590149
sick,crazy,3.57,0.5728924870491028
violent,angry,6.98,0.6160035133361816
