word1,word2,WordSim,cos
love,sex,6.77,0.510737955570221
tiger,cat,7.35,0.5492035746574402
tiger,tiger,10.0,1.0000001192092896
book,paper,7.46,0.655390202999115
computer,keyboard,7.62,0.6098259687423706
computer,internet,7.58,0.6444270610809326
plane,car,5.77,0.5511773228645325
train,car,6.31,0.5546691417694092
telephone,communication,7.5,0.5610067844390869
television,radio,6.77,0.7428057789802551
media,radio,7.42,0.6144818663597107
drug,abuse,6.85,0.5431947708129883
bread,butter,6.19,0.7513414621353149
cucumber,potato,5.92,0.588374137878418
doctor,nurse,7.0,0.720647394657135
professor,doctor,6.62,0.6505759954452515
student,professor,6.81,0.6378839612007141
smart,student,4.62,0.38425105810165405
smart,stupid,5.81,0.6943387389183044
company,stock,7.08,0.5307437181472778
stock,market,8.08,0.645723819732666
stock,phone,1.62,0.35778504610061646
stock,CD,1.31,0.30227190256118774
stock,jaguar,0.92,0.24488355219364166
stock,egg,1.81,0.337078332901001
fertility,egg,6.69,0.40099743008613586
stock,live,3.73,0.38653379678726196
stock,life,0.92,0.4033898115158081
book,library,7.46,0.541957676410675
bank,money,8.12,0.4962940812110901
wood,forest,7.73,0.6502563953399658
money,cash,9.15,0.7558718919754028
professor,cucumber,0.31,0.23007646203041077
king,cabbage,0.23,0.35930484533309937
king,queen,8.58,0.7704245448112488
king,rook,5.92,0.46359866857528687
bishop,rabbi,6.69,0.5275632739067078
Jerusalem,Israel,8.46,0.7316750884056091
Jerusalem,Palestinian,7.65,0.5781338810920715
holy,sex,1.62,0.38992783427238464
fuck,sex,9.44,0.4057770371437073
Maradona,football,8.62,0.3787585496902466
football,soccer,9.03,0.8197726011276245
football,basketball,6.81,0.7272933125495911
football,tennis,6.63,0.5656449198722839
tennis,racket,7.56,0.5641391277313232
Arafat,peace,6.73,0.31508785486221313
Arafat,terror,7.65,0.321658730506897
Arafat,Jackson,2.5,0.34703803062438965
law,lawyer,8.38,0.5543556809425354
movie,star,7.38,0.5434433221817017
movie,popcorn,6.19,0.49059703946113586
movie,critic,6.73,0.3826301097869873
movie,theater,7.92,0.5970910787582397
physics,proton,8.12,0.4577302932739258
physics,chemistry,7.35,0.7350439429283142
space,chemistry,4.88,0.3627214729785919
alcohol,chemistry,5.54,0.42592114210128784
vodka,gin,8.46,0.6315410137176514
vodka,brandy,8.13,0.6818723082542419
drink,car,3.04,0.4222625494003296
drink,ear,1.31,0.2203979194164276
drink,mouth,5.96,0.3885023891925812
drink,eat,6.87,0.6695381999015808
baby,mother,7.85,0.7046976089477539
drink,mother,2.65,0.3093169629573822
car,automobile,8.94,0.7790265083312988
gem,jewel,8.96,0.7404146790504456
journey,voyage,9.29,0.7688103914260864
boy,lad,8.83,0.7353160977363586
coast,shore,9.1,0.7390429377555847
asylum,madhouse,8.87,0.5001662969589233
magician,wizard,9.02,0.6697250604629517
midday,noon,9.29,0.7832095623016357
furnace,stove,8.79,0.6648432016372681
food,fruit,7.52,0.5154927372932434
bird,cock,7.1,0.563235342502594
bird,crane,7.38,0.5843252539634705
tool,implement,6.46,0.48921310901641846
brother,monk,6.27,0.47024205327033997
crane,implement,2.69,0.20500634610652924
lad,brother,4.46,0.47813692688941956
journey,car,5.85,0.4191538095474243
monk,oracle,5.0,0.3755168318748474
cemetery,woodland,2.08,0.48816826939582825
food,rooster,4.42,0.3366004526615143
coast,hill,4.38,0.4974716305732727
forest,graveyard,1.85,0.4853239059448242
shore,woodland,3.08,0.4169062674045563
monk,slave,0.92,0.2955317199230194
coast,forest,3.15,0.4425739049911499
lad,wizard,0.92,0.35019591450691223
chord,smile,0.54,0.23889218270778656
glass,magician,2.08,0.33374419808387756
noon,string,0.54,0.12106897681951523
rooster,voyage,0.62,0.17311199009418488
money,dollar,8.42,0.5671323537826538
money,cash,9.08,0.7558718919754028
money,currency,9.04,0.5391917824745178
money,wealth,8.27,0.6349099278450012
money,property,7.57,0.500727653503418
money,possession,7.29,0.4619326591491699
money,bank,8.5,0.4962940812110901
money,deposit,7.73,0.5023401975631714
money,withdrawal,6.88,0.3582872748374939
money,laundering,5.65,0.49605193734169006
money,operation,3.31,0.373138964176178
tiger,jaguar,8.0,0.6001474857330322
tiger,feline,8.0,0.5133395791053772
tiger,carnivore,7.08,0.5300952196121216
tiger,mammal,6.85,0.5267736911773682
tiger,animal,7.0,0.5824452042579651
tiger,organism,4.77,0.3424444794654846
tiger,fauna,5.62,0.4245425760746002
tiger,zoo,5.87,0.5026023983955383
psychology,psychiatry,8.08,0.7506972551345825
psychology,anxiety,7.0,0.500145673751831
psychology,fear,6.85,0.36031287908554077
psychology,depression,7.42,0.4846712648868561
psychology,clinic,6.58,0.4202677309513092
psychology,doctor,6.42,0.4338091015815735
psychology,Freud,8.21,0.45079362392425537
psychology,mind,7.69,0.45509347319602966
psychology,health,7.23,0.5256569385528564
psychology,science,6.71,0.6533005833625793
psychology,discipline,5.58,0.5977329015731812
psychology,cognition,7.48,0.6350600719451904
planet,star,8.45,0.5093398690223694
planet,constellation,8.06,0.44463077187538147
planet,moon,8.08,0.6212912797927856
planet,sun,8.02,0.4821038246154785
planet,galaxy,8.11,0.6904103755950928
planet,space,7.92,0.5151931047439575
planet,astronomer,7.94,0.39574381709098816
precedent,example,5.85,0.5778354406356812
precedent,information,3.85,0.38843828439712524
precedent,cognition,2.81,0.20116885006427765
precedent,law,6.65,0.530208945274353
precedent,collection,2.5,0.35380688309669495
precedent,group,1.77,0.3415295481681824
precedent,antecedent,6.04,0.49434694647789
cup,coffee,6.58,0.5876021981239319
cup,tableware,6.85,0.36243581771850586
cup,article,2.4,0.2714311480522156
cup,artifact,2.92,0.28397035598754883
cup,object,3.69,0.3641272783279419
cup,entity,2.15,0.2593805193901062
cup,drink,7.25,0.49809104204177856
cup,food,5.0,0.37033945322036743
cup,substance,1.92,0.31566742062568665
cup,liquid,5.9,0.4323290288448334
jaguar,cat,7.42,0.47147297859191895
jaguar,car,7.27,0.3630797564983368
energy,secretary,1.81,0.31716617941856384
