word1,word2,SimLex,cos
old,new,1.58,0.7593039274215698
smart,intelligent,9.2,0.5981794595718384
hard,difficult,8.77,0.6583157777786255
happy,cheerful,9.55,0.36605438590049744
hard,easy,0.95,0.7671031951904297
fast,rapid,8.75,0.4793379008769989
happy,glad,9.17,0.6329027414321899
short,long,1.23,0.8210397958755493
stupid,dumb,9.58,0.9379656910896301
weird,strange,8.93,0.8359323740005493
wide,narrow,1.03,0.5002613663673401
bad,awful,8.42,0.733492910861969
easy,difficult,0.58,0.7341024875640869
bad,terrible,7.78,0.7227418422698975
hard,simple,1.38,0.49028947949409485
smart,dumb,0.55,0.6827222108840942
insane,crazy,9.57,0.8088615536689758
happy,mad,0.95,0.5483027100563049
large,huge,9.47,0.7173181772232056
hard,tough,8.05,0.7349162101745605
new,fresh,6.83,0.6592383980751038
sharp,dull,0.6,0.5673514008522034
quick,rapid,9.7,0.48207464814186096
dumb,foolish,6.67,0.674954891204834
wonderful,terrific,8.63,0.713981032371521
strange,odd,9.02,0.8524565100669861
happy,angry,1.28,0.4630701243877411
narrow,broad,1.18,0.6230007410049438
simple,easy,9.4,0.7068992257118225
old,fresh,0.87,0.5821964740753174
apparent,obvious,8.47,0.4435744881629944
inexpensive,cheap,8.72,0.5635857582092285
nice,generous,5.0,0.4053732752799988
weird,normal,0.72,0.5268393158912659
weird,odd,9.2,0.8064202666282654
bad,immoral,7.62,0.1686871349811554
sad,funny,0.95,0.7097038626670837
wonderful,great,8.05,0.8646038174629211
guilty,ashamed,6.38,0.5944851636886597
beautiful,wonderful,6.5,0.838624119758606
confident,sure,8.27,0.5064061880111694
dumb,dense,7.27,0.15037085115909576
large,big,9.55,0.6160295605659485
nice,cruel,0.67,0.316567599773407
impatient,anxious,6.03,0.7184786200523376
big,broad,6.73,0.40732261538505554
strong,proud,3.17,0.6953088641166687
unnecessary,necessary,0.63,0.5959721803665161
restless,young,1.6,0.315672904253006
dumb,intelligent,0.75,0.43828508257865906
bad,great,0.35,0.7088969349861145
difficult,simple,0.87,0.5235913395881653
necessary,important,7.37,0.7335070371627808
bad,terrific,0.65,0.3428559899330139
mad,glad,1.45,0.6770899295806885
honest,guilty,1.18,0.5201221108436584
easy,tough,0.52,0.7332332134246826
easy,flexible,4.1,0.44783806800842285
certain,sure,8.42,0.6263096928596497
essential,necessary,8.97,0.6606767177581787
different,normal,1.08,0.4705725610256195
sly,clever,7.25,0.59809809923172
crucial,important,8.82,0.6393417716026306
harsh,cruel,8.18,0.49184146523475647
childish,foolish,5.5,0.6515951156616211
scarce,rare,9.17,0.26078373193740845
friendly,generous,5.9,0.4647793471813202
fragile,frigid,2.38,0.2987387478351593
long,narrow,3.57,0.32704588770866394
big,heavy,6.18,0.5417076945304871
rough,frigid,2.47,0.32843419909477234
bizarre,strange,9.37,0.6190288066864014
illegal,immoral,4.28,0.5871222615242004
bad,guilty,4.2,0.5131940841674805
modern,ancient,0.73,0.5856627821922302
new,ancient,0.23,0.3914838433265686
dull,funny,0.55,0.4544260799884796
happy,young,2.0,0.5775156617164612
easy,big,1.12,0.6246545314788818
great,awful,1.17,0.6743051409721375
tiny,huge,0.6,0.7148523926734924
polite,proper,7.63,0.5006039142608643
modest,ashamed,2.65,0.27495166659355164
exotic,rare,8.05,0.3938687741756439
dumb,clever,1.17,0.6317362785339355
delightful,wonderful,8.65,0.6902281045913696
noticeable,obvious,8.48,0.3991277515888214
afraid,anxious,5.07,0.5095445513725281
formal,proper,8.02,0.43871375918388367
dreary,dull,8.25,0.6057171821594238
delightful,cheerful,6.58,0.49878954887390137
unhappy,mad,5.95,0.4624602794647217
sad,terrible,5.4,0.6122854351997375
sick,crazy,3.57,0.7772850394248962
violent,angry,6.98,0.5280236601829529
laden,heavy,5.9,0.18208664655685425
dirty,cheap,1.6,0.5781390070915222
elastic,flexible,7.78,0.4580315351486206
hard,dense,5.9,0.13786911964416504
recent,new,7.05,0.6675122976303101
bold,proud,3.97,0.3401637077331543
sly,strange,1.97,0.4869227409362793
