word1,word2,WordSim,cos
love,sex,6.77,0.5425183176994324
tiger,cat,7.35,0.5570399761199951
tiger,tiger,10.0,1.0
book,paper,7.46,0.6290727853775024
computer,keyboard,7.62,0.6347107291221619
computer,internet,7.58,0.5748711824417114
plane,car,5.77,0.5657765865325928
train,car,6.31,0.5783687233924866
telephone,communication,7.5,0.405955970287323
television,radio,6.77,0.5907017588615417
media,radio,7.42,0.5171408653259277
drug,abuse,6.85,0.49104058742523193
bread,butter,6.19,0.6886447072029114
cucumber,potato,5.92,0.44124460220336914
doctor,nurse,7.0,0.516937792301178
professor,doctor,6.62,0.4172721803188324
student,professor,6.81,0.5162259936332703
smart,student,4.62,0.461868554353714
smart,stupid,5.81,0.6504843831062317
company,stock,7.08,0.5083842873573303
stock,market,8.08,0.6691476106643677
stock,phone,1.62,0.33019331097602844
stock,jaguar,0.92,0.19054463505744934
stock,egg,1.81,0.21852006018161774
fertility,egg,6.69,0.14735202491283417
stock,live,3.73,0.2671521306037903
stock,life,0.92,0.27784475684165955
book,library,7.46,0.6311665773391724
bank,money,8.12,0.5411861538887024
wood,forest,7.73,0.4927339255809784
money,cash,9.15,0.8092226982116699
professor,cucumber,0.31,0.10931381583213806
king,cabbage,0.23,0.09588773548603058
king,queen,8.58,0.6889297962188721
king,rook,5.92,0.17817410826683044
bishop,rabbi,6.69,0.21684962511062622
holy,sex,1.62,0.4089130163192749
fuck,sex,9.44,0.5673301815986633
football,soccer,9.03,0.8488517999649048
football,basketball,6.81,0.7915657758712769
football,tennis,6.63,0.6258654594421387
tennis,racket,7.56,0.5347669124603271
law,lawyer,8.38,0.6042262315750122
movie,star,7.38,0.570267379283905
movie,popcorn,6.19,0.49467507004737854
movie,critic,6.73,0.31053340435028076
movie,theater,7.92,0.532345175743103
physics,proton,8.12,0.20978371798992157
physics,chemistry,7.35,0.7229368090629578
space,chemistry,4.88,0.24745236337184906
alcohol,chemistry,5.54,0.2349216639995575
vodka,gin,8.46,0.49118295311927795
vodka,brandy,8.13,0.3863281309604645
drink,car,3.04,0.4028920531272888
drink,ear,1.31,0.3205305337905884
drink,mouth,5.96,0.49505025148391724
drink,eat,6.87,0.6394673585891724
baby,mother,7.85,0.5971850752830505
drink,mother,2.65,0.43853747844696045
car,automobile,8.94,0.4567107558250427
gem,jewel,8.96,0.48953211307525635
journey,voyage,9.29,0.5022937655448914
boy,lad,8.83,0.5107020735740662
coast,shore,9.1,0.5181540250778198
asylum,madhouse,8.87,0.20223553478717804
magician,wizard,9.02,0.4800835847854614
midday,noon,9.29,0.5519699454307556
furnace,stove,8.79,0.4301833510398865
food,fruit,7.52,0.5566092133522034
bird,cock,7.1,0.30478551983833313
bird,crane,7.38,0.23457074165344238
tool,implement,6.46,0.3655950427055359
brother,monk,6.27,0.23177902400493622
crane,implement,2.69,0.13930252194404602
lad,brother,4.46,0.4845065474510193
journey,car,5.85,0.40611395239830017
monk,oracle,5.0,0.19085030257701874
cemetery,woodland,2.08,0.3951018750667572
food,rooster,4.42,0.18636275827884674
coast,hill,4.38,0.4175374507904053
forest,graveyard,1.85,0.1935192197561264
shore,woodland,3.08,0.1940600574016571
monk,slave,0.92,0.3395210802555084
coast,forest,3.15,0.4300432503223419
lad,wizard,0.92,0.14767950773239136
chord,smile,0.54,0.17184153199195862
glass,magician,2.08,0.15004192292690277
noon,string,0.54,0.09699714183807373
rooster,voyage,0.62,0.15602745115756989
money,dollar,8.42,0.6241410970687866
money,cash,9.08,0.8092226982116699
money,currency,9.04,0.40705999732017517
money,wealth,8.27,0.5490381121635437
money,property,7.57,0.4481627345085144
money,possession,7.29,0.3157489597797394
money,bank,8.5,0.5411861538887024
money,deposit,7.73,0.4727708101272583
money,withdrawal,6.88,0.25679194927215576
money,laundering,5.65,0.3825177550315857
money,operation,3.31,0.30998969078063965
tiger,jaguar,8.0,0.3752382695674896
tiger,feline,8.0,0.23713743686676025
tiger,carnivore,7.08,0.1446082442998886
tiger,mammal,6.85,0.18754544854164124
tiger,animal,7.0,0.4306952655315399
tiger,organism,4.77,0.08447040617465973
tiger,fauna,5.62,0.153615340590477
tiger,zoo,5.87,0.4139438569545746
psychology,psychiatry,8.08,0.40277642011642456
psychology,anxiety,7.0,0.4240908622741699
psychology,fear,6.85,0.285069078207016
psychology,depression,7.42,0.4225151240825653
psychology,clinic,6.58,0.2745762765407562
psychology,doctor,6.42,0.2768856883049011
psychology,mind,7.69,0.41335511207580566
psychology,health,7.23,0.47324618697166443
psychology,science,6.71,0.6755935549736023
psychology,discipline,5.58,0.36036136746406555
psychology,cognition,7.48,0.31587040424346924
planet,star,8.45,0.47378015518188477
planet,constellation,8.06,0.15686488151550293
planet,moon,8.08,0.5568772554397583
planet,sun,8.02,0.46340447664260864
planet,galaxy,8.11,0.3859521746635437
planet,space,7.92,0.5918987989425659
planet,astronomer,7.94,0.1500389277935028
precedent,example,5.85,0.3150312304496765
precedent,information,3.85,0.23764091730117798
precedent,cognition,2.81,0.13814271986484528
precedent,law,6.65,0.26227179169654846
precedent,collection,2.5,0.21012243628501892
precedent,group,1.77,0.05060727894306183
precedent,antecedent,6.04,0.2452843338251114
cup,coffee,6.58,0.5763089656829834
cup,tableware,6.85,0.0651923269033432
cup,article,2.4,0.2793423533439636
cup,artifact,2.92,-0.004086699336767197
cup,object,3.69,0.17158326506614685
cup,entity,2.15,-0.010758192278444767
cup,drink,7.25,0.5146077871322632
cup,food,5.0,0.43537044525146484
cup,substance,1.92,0.06667213886976242
cup,liquid,5.9,0.3233834207057953
jaguar,cat,7.42,0.2765190005302429
jaguar,car,7.27,0.38360393047332764
energy,secretary,1.81,0.2874622046947479
secretary,senate,5.06,0.5090275406837463
energy,laboratory,5.09,0.1970137059688568
computer,laboratory,6.78,0.3244931399822235
weapon,secret,6.06,0.3484785258769989
investigation,effort,4.59,0.3185933828353882
news,report,8.16,0.6690351366996765
canyon,landscape,7.53,0.3677957355976105
image,surface,4.56,0.44574180245399475
discovery,space,6.34,0.5014477372169495
sign,recess,2.38,0.16317656636238098
