word1,word2,SimLex,cos
old,new,1.58,0.6432488560676575
smart,intelligent,9.2,0.7552732825279236
hard,difficult,8.77,0.7852546572685242
happy,cheerful,9.55,0.5459936857223511
hard,easy,0.95,0.7667677402496338
fast,rapid,8.75,0.5823262929916382
happy,glad,9.17,0.7833360433578491
short,long,1.23,0.8219379186630249
stupid,dumb,9.58,0.8360649943351746
weird,strange,8.93,0.8247356414794922
wide,narrow,1.03,0.6349321603775024
bad,awful,8.42,0.705917239189148
easy,difficult,0.58,0.7646345496177673
bad,terrible,7.78,0.7072132229804993
hard,simple,1.38,0.61546391248703
smart,dumb,0.55,0.6120541095733643
insane,crazy,9.57,0.5917371511459351
happy,mad,0.95,0.44625067710876465
large,huge,9.47,0.8087273240089417
hard,tough,8.05,0.7876509428024292
new,fresh,6.83,0.5236895680427551
sharp,dull,0.6,0.42561817169189453
quick,rapid,9.7,0.5612246990203857
dumb,foolish,6.67,0.6963460445404053
wonderful,terrific,8.63,0.8290024995803833
strange,odd,9.02,0.8156484961509705
happy,angry,1.28,0.5397664904594421
narrow,broad,1.18,0.6856588125228882
simple,easy,9.4,0.7649385929107666
old,fresh,0.87,0.39810022711753845
apparent,obvious,8.47,0.7372899651527405
inexpensive,cheap,8.72,0.8236532807350159
nice,generous,5.0,0.4745803475379944
weird,normal,0.72,0.31582143902778625
weird,odd,9.2,0.7550235390663147
bad,immoral,7.62,0.30901679396629333
sad,funny,0.95,0.6318902373313904
wonderful,great,8.05,0.6992725729942322
guilty,ashamed,6.38,0.329661101102829
beautiful,wonderful,6.5,0.8080508708953857
confident,sure,8.27,0.6916094422340393
dumb,dense,7.27,0.07970565557479858
large,big,9.55,0.7082056999206543
nice,cruel,0.67,0.28629347681999207
impatient,anxious,6.03,0.73162841796875
big,broad,6.73,0.4801880717277527
strong,proud,3.17,0.4656580984592438
unnecessary,necessary,0.63,0.5634515881538391
restless,young,1.6,0.47566184401512146
dumb,intelligent,0.75,0.5001825094223022
bad,great,0.35,0.5831834077835083
difficult,simple,0.87,0.631504476070404
necessary,important,7.37,0.6944153308868408
bad,terrific,0.65,0.4804478585720062
mad,glad,1.45,0.2861218750476837
honest,guilty,1.18,0.34940364956855774
easy,tough,0.52,0.6713421940803528
easy,flexible,4.1,0.4630010426044464
certain,sure,8.42,0.6797810196876526
essential,necessary,8.97,0.7851075530052185
different,normal,1.08,0.5898041725158691
sly,clever,7.25,0.6138442158699036
crucial,important,8.82,0.77938312292099
harsh,cruel,8.18,0.6430470943450928
childish,foolish,5.5,0.6335615515708923
scarce,rare,9.17,0.37911874055862427
friendly,generous,5.9,0.46214210987091064
fragile,frigid,2.38,0.2844703197479248
long,narrow,3.57,0.6628870368003845
big,heavy,6.18,0.5499799847602844
rough,frigid,2.47,0.40778589248657227
bizarre,strange,9.37,0.8144581913948059
illegal,immoral,4.28,0.5037590861320496
bad,guilty,4.2,0.35323789715766907
modern,ancient,0.73,0.7037310600280762
new,ancient,0.23,0.4057610034942627
dull,funny,0.55,0.5656166076660156
happy,young,2.0,0.5695468187332153
easy,big,1.12,0.6282855272293091
great,awful,1.17,0.5115559101104736
tiny,huge,0.6,0.6129024028778076
polite,proper,7.63,0.29995331168174744
modest,ashamed,2.65,-0.0012778027448803186
exotic,rare,8.05,0.5609923601150513
dumb,clever,1.17,0.6146391034126282
delightful,wonderful,8.65,0.7393503785133362
noticeable,obvious,8.48,0.6123272776603699
afraid,anxious,5.07,0.6866208910942078
formal,proper,8.02,0.6206453442573547
dreary,dull,8.25,0.643596887588501
delightful,cheerful,6.58,0.5618610382080078
unhappy,mad,5.95,0.3191319704055786
sad,terrible,5.4,0.6671074032783508
sick,crazy,3.57,0.5170795321464539
violent,angry,6.98,0.6114078760147095
laden,heavy,5.9,0.3511926233768463
dirty,cheap,1.6,0.5127898454666138
elastic,flexible,7.78,0.46076393127441406
hard,dense,5.9,0.3196429908275604
recent,new,7.05,0.6606821417808533
bold,proud,3.97,0.4410105347633362
sly,strange,1.97,0.4030507802963257
strange,sly,2.07,0.4030507802963257
dumb,rare,0.48,0.11429926753044128
sly,tough,0.58,0.23141729831695557
terrific,mad,0.4,0.23698210716247559
modest,flexible,0.98,0.40241628885269165
fresh,wide,0.4,0.4320576786994934
huge,dumb,0.48,0.18769471347332
large,flexible,0.48,0.35727810859680176
dirty,narrow,0.3,0.2383521944284439
wife,husband,2.3,0.9219692945480347
book,text,6.35,0.6154720187187195
groom,bride,3.17,0.7919126152992249
night,day,1.88,0.8261710405349731
south,north,2.2,0.9215717911720276
plane,airport,3.65,0.6283672451972961
uncle,aunt,5.5,0.758747398853302
horse,mare,8.33,0.3991990089416504
bottom,top,0.7,0.5911791324615479
friend,buddy,8.78,0.5883033275604248
student,pupil,9.35,0.4868015944957733
world,globe,6.67,0.43908342719078064
leg,arm,2.88,0.614022433757782
plane,jet,8.1,0.8195893168449402
woman,man,3.33,0.8323493599891663
horse,colt,7.07,0.5831633806228638
actress,actor,7.12,0.8580666184425354
teacher,instructor,9.25,0.7077120542526245
movie,film,8.87,0.9055121541023254
bird,hawk,7.85,0.3625161945819855
word,dictionary,3.68,0.5510254502296448
money,salary,7.88,0.4854792058467865
dog,cat,1.75,0.8798075914382935
area,region,9.47,0.7458776235580444
navy,army,6.43,0.6708730459213257
book,literature,7.53,0.6440802812576294
clothes,closet,3.27,0.5462760329246521
sunset,sunrise,2.47,0.8031282424926758
child,adult,2.98,0.6879923939704895
cow,cattle,9.52,0.7192908525466919
book,story,5.63,0.7941391468048096
winter,summer,2.38,0.8896949887275696
taxi,cab,9.2,0.7556796073913574
tree,maple,5.53,0.4894956052303314
bed,bedroom,3.4,0.6915373802185059
roof,ceiling,7.58,0.6892037987709045
disease,infection,7.15,0.8223701119422913
arm,shoulder,4.85,0.6972090005874634
sheep,lamb,8.42,0.4275525212287903
lady,gentleman,3.42,0.5004052519798279
boat,anchor,2.25,0.32714876532554626
priest,monk,6.28,0.6530258655548096
toe,finger,4.68,0.5658850073814392
river,stream,7.3,0.6711427569389343
anger,fury,8.73,0.6973652243614197
date,calendar,4.42,0.5990522503852844
sea,ocean,8.27,0.838655948638916
second,minute,4.62,0.667237401008606
hand,thumb,3.88,0.5505682826042175
wood,log,7.3,0.4412374794483185
mud,dirt,7.32,0.717605710029602
hallway,corridor,9.28,0.36172381043434143
way,manner,7.62,0.6321040391921997
mouse,cat,1.12,0.6915250420570374
cop,sheriff,9.05,0.4623314142227173
death,burial,4.93,0.40673595666885376
music,melody,6.98,0.5915852189064026
beer,alcohol,7.5,0.538308322429657
mouth,lip,7.1,0.5296308398246765
storm,hurricane,6.38,0.8837573528289795
tax,income,2.38,0.7824841141700745
flower,violet,6.95,0.4105795621871948
paper,cardboard,5.38,0.5920566916465759
floor,ceiling,1.73,0.6431276798248291
beach,seashore,8.33,0.3836849331855774
rod,curtain,3.03,0.31172454357147217
hound,fox,2.38,0.2527513802051544
street,alley,5.48,0.5268164277076721
boat,deck,4.28,0.5293331146240234
car,horn,2.57,0.296272337436676
friend,guest,4.25,0.5311107039451599
employer,employee,3.65,0.7643852233886719
hand,wrist,3.97,0.518882691860199
ball,cannon,2.58,0.3934394121170044
alcohol,brandy,6.98,0.3452102541923523
victory,triumph,8.98,0.8435052633285522
