word1,word2,WordSim,cos
love,sex,6.77,0.5533545017242432
tiger,cat,7.35,0.5415419340133667
tiger,tiger,10.0,1.0
book,paper,7.46,0.6225872039794922
computer,keyboard,7.62,0.5418190956115723
computer,internet,7.58,0.72867751121521
plane,car,5.77,0.5961413979530334
train,car,6.31,0.6822722554206848
telephone,communication,7.5,0.6329401731491089
television,radio,6.77,0.8153581023216248
media,radio,7.42,0.6588770747184753
drug,abuse,6.85,0.5858407020568848
bread,butter,6.19,0.7279618382453918
cucumber,potato,5.92,0.6297711133956909
doctor,nurse,7.0,0.75215083360672
professor,doctor,6.62,0.5301827192306519
student,professor,6.81,0.5851861238479614
smart,student,4.62,0.3544005751609802
smart,stupid,5.81,0.5957468152046204
company,stock,7.08,0.6375109553337097
stock,market,8.08,0.7991610765457153
stock,phone,1.62,0.3760230243206024
stock,jaguar,0.92,0.1627805382013321
stock,egg,1.81,0.17744457721710205
fertility,egg,6.69,0.38555094599723816
stock,live,3.73,0.26148995757102966
stock,life,0.92,0.3554474413394928
book,library,7.46,0.5616436004638672
bank,money,8.12,0.5718163251876831
wood,forest,7.73,0.5236122608184814
money,cash,9.15,0.848483681678772
professor,cucumber,0.31,-0.006589924450963736
king,cabbage,0.23,0.03835491091012955
king,queen,8.58,0.7507690191268921
king,rook,5.92,0.21684734523296356
bishop,rabbi,6.69,0.44016575813293457
holy,sex,1.62,0.30285724997520447
fuck,sex,9.44,0.1435205638408661
football,soccer,9.03,0.8732220530509949
football,basketball,6.81,0.8555636405944824
football,tennis,6.63,0.5885030627250671
tennis,racket,7.56,0.4217623770236969
law,lawyer,8.38,0.5974501371383667
movie,star,7.38,0.6531304717063904
movie,popcorn,6.19,0.37365636229515076
movie,critic,6.73,0.40722811222076416
movie,theater,7.92,0.6693013310432434
physics,proton,8.12,0.23452210426330566
physics,chemistry,7.35,0.8497999906539917
space,chemistry,4.88,0.33954477310180664
alcohol,chemistry,5.54,0.20205309987068176
vodka,gin,8.46,0.6326446533203125
vodka,brandy,8.13,0.6743061542510986
drink,car,3.04,0.3372037708759308
drink,ear,1.31,0.13571268320083618
drink,mouth,5.96,0.3745891749858856
drink,eat,6.87,0.6849386692047119
baby,mother,7.85,0.6969205737113953
drink,mother,2.65,0.33608391880989075
car,automobile,8.94,0.6831942200660706
gem,jewel,8.96,0.6415449976921082
journey,voyage,9.29,0.768299400806427
boy,lad,8.83,0.39526766538619995
coast,shore,9.1,0.7000272274017334
asylum,madhouse,8.87,-0.10434502363204956
magician,wizard,9.02,0.6618204116821289
midday,noon,9.29,0.7853312492370605
furnace,stove,8.79,0.6326393485069275
food,fruit,7.52,0.573560357093811
bird,cock,7.1,0.2753101587295532
bird,crane,7.38,0.3371933400630951
tool,implement,6.46,0.3897005319595337
brother,monk,6.27,0.42725783586502075
crane,implement,2.69,0.02472168393433094
lad,brother,4.46,0.2299249917268753
journey,car,5.85,0.3486618101596832
monk,oracle,5.0,0.05987599864602089
cemetery,woodland,2.08,0.47534430027008057
food,rooster,4.42,-0.006615809630602598
coast,hill,4.38,0.38247379660606384
forest,graveyard,1.85,0.23617887496948242
shore,woodland,3.08,0.22715844213962555
monk,slave,0.92,0.22086459398269653
coast,forest,3.15,0.41093000769615173
lad,wizard,0.92,0.33802783489227295
chord,smile,0.54,0.20381098985671997
glass,magician,2.08,0.09220507740974426
noon,string,0.54,0.037575699388980865
rooster,voyage,0.62,0.06048740819096565
money,dollar,8.42,0.5416750311851501
