word1,word2,WordSim,cos
love,sex,6.77,0.26393774151802063
tiger,cat,7.35,0.5172961950302124
tiger,tiger,10.0,1.0
book,paper,7.46,0.3634625971317291
computer,keyboard,7.62,0.3963916301727295
computer,internet,7.58,0.4068623483181
plane,car,5.77,0.3779698312282562
train,car,6.31,0.34025612473487854
telephone,communication,7.5,0.3321845233440399
television,radio,6.77,0.611497163772583
media,radio,7.42,0.3899161219596863
drug,abuse,6.85,0.24085772037506104
bread,butter,6.19,0.6417260766029358
cucumber,potato,5.92,0.5678561925888062
doctor,nurse,7.0,0.6319524049758911
professor,doctor,6.62,0.21336084604263306
student,professor,6.81,0.4206618368625641
smart,student,4.62,0.06630215793848038
smart,stupid,5.81,0.47047194838523865
company,stock,7.08,0.34156864881515503
stock,market,8.08,0.4680556356906891
stock,phone,1.62,0.12326755374670029
stock,CD,1.31,0.06611790508031845
stock,jaguar,0.92,0.03606690466403961
stock,egg,1.81,0.10417767614126205
fertility,egg,6.69,0.256523460149765
stock,live,3.73,0.04447176679968834
stock,life,0.92,0.07456467300653458
book,library,7.46,0.324531227350235
bank,money,8.12,0.26132065057754517
wood,forest,7.73,0.41751629114151
money,cash,9.15,0.6151221394538879
professor,cucumber,0.31,0.056618139147758484
king,cabbage,0.23,0.11813169717788696
king,queen,8.58,0.6510956287384033
king,rook,5.92,0.20875594019889832
bishop,rabbi,6.69,0.42778125405311584
Jerusalem,Israel,8.46,0.6638746857643127
Jerusalem,Palestinian,7.65,0.6342512369155884
holy,sex,1.62,0.10070593655109406
fuck,sex,9.44,0.22339172661304474
Maradona,football,8.62,0.28883829712867737
football,soccer,9.03,0.731354832649231
football,basketball,6.81,0.6682468056678772
football,tennis,6.63,0.5051178336143494
tennis,racket,7.56,0.3920080363750458
Arafat,peace,6.73,0.31498637795448303
Arafat,terror,7.65,0.3215480148792267
Arafat,Jackson,2.5,0.24712517857551575
law,lawyer,8.38,0.34465768933296204
movie,star,7.38,0.26419904828071594
movie,popcorn,6.19,0.44535529613494873
movie,critic,6.73,0.17430327832698822
movie,theater,7.92,0.47419044375419617
physics,proton,8.12,0.3664059638977051
physics,chemistry,7.35,0.43719837069511414
space,chemistry,4.88,0.0802517756819725
alcohol,chemistry,5.54,0.08876198530197144
vodka,gin,8.46,0.597174882888794
vodka,brandy,8.13,0.6881492733955383
drink,car,3.04,0.24563539028167725
drink,ear,1.31,0.09346935898065567
drink,mouth,5.96,0.17304003238677979
drink,eat,6.87,0.5070199966430664
baby,mother,7.85,0.5839770436286926
drink,mother,2.65,0.15679937601089478
car,automobile,8.94,0.5838367938995361
gem,jewel,8.96,0.6210811138153076
journey,voyage,9.29,0.6830852627754211
boy,lad,8.83,0.5886160135269165
coast,shore,9.1,0.5083667635917664
asylum,madhouse,8.87,0.2525393068790436
magician,wizard,9.02,0.48634961247444153
midday,noon,9.29,0.5527406334877014
furnace,stove,8.79,0.6083910465240479
food,fruit,7.52,0.37409257888793945
bird,cock,7.1,0.3629024028778076
bird,crane,7.38,0.30286192893981934
tool,implement,6.46,0.2123422771692276
brother,monk,6.27,0.2232002168893814
crane,implement,2.69,0.023186160251498222
lad,brother,4.46,0.3595924973487854
journey,car,5.85,0.09849625825881958
monk,oracle,5.0,0.30354034900665283
cemetery,woodland,2.08,0.3819250762462616
food,rooster,4.42,0.1183064728975296
coast,hill,4.38,0.1611577570438385
forest,graveyard,1.85,0.22901122272014618
shore,woodland,3.08,0.1169094517827034
monk,slave,0.92,0.19146227836608887
